"field_date","site_reach","sample_type","slide_rep","date_analyzed","method","microcoleus","non_algal","non_e_diatoms","e_diatoms","other_coccoids","green_algae","anabaena_and_cylindrospermum","oscillatoria","scytonema","geitlerinema","gloeotrichia","rivularia","nostoc","unknown","lyngbya","phormidium_unknown","calothrix","leptolyngbya","chroococcus","tolypothrix","nodularia","homoeothrix"
"7/12/2022","SAL-1S","TM","Final","10/20/2023","preserved",90.5,3,5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/26/2022","SAL-1S","TM","Final","10/23/2023","preserved",73,4,12,0,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"7/12/2022","SAL-2","TM","Final","10/20/2023","preserved",87,5,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/26/2022","SAL-2","TM","Final","10/23/2023","preserved",70,10,15,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7/12/2022","SAL-3","TM","1","11/17/2023","preserved",50.8,40,5,0,1,1,0,0,0,2,0,0,0,0,0.1,0.1,0,0,0,0,0,0
"7/12/2022","SAL-3","TM","2","11/17/2023","preserved",47.9,42,7,0.1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/12/2022","SAL-3","TM","3","11/17/2023","preserved",46,45,5,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7/26/2022","SAL-3","TM","Final","10/23/2023","preserved",81,6,8,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"6/29/2022","SFE-M-1S","TM","Final","10/3/2023","preserved",80,2,2,3,1,2,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0
"7/14/2022","SFE-M-1S","TM","Final","10/23/2023","preserved",69.9,6,5,5,2,2,5,0,0,0,0,0,5,0,0,0,0,0,0.1,0,0,0
"7/28/2022","SFE-M-1S","TM","Final","10/24/2023","preserved",60,2,2,12,4,5,10,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
"8/10/2022","SFE-M-1S","TM","Final","10/25/2023","preserved",65.9,5,6,6,3,3,3,0,0,8,0,0,0,0,0,0,0,0.1,0,0,0,0
"8/23/2022","SFE-M-1S","TM","Final","10/31/2023","preserved",68,5,10,4,3,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"9/6/2022","SFE-M-1S","TM","Final","10/31/2023","preserved",57.9,8,2,9,6,10,1,0,0,2.5,0,0,1,0,0,0,0.1,2.5,0,0,0,0
"9/8/2022","SFE-M-1S","TM","Final","11/1/2023","preserved",66.9,9,4,6,3,6,1,0,0,4,0,0,0,0,0,0,0,0.1,0,0,0,0
"9/17/2022","SFE-M-1S","TM","Final","11/1/2023","preserved",56,9,3,5,10,8,2,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0
"6/29/2022","SFE-M-3","TM","Final","10/24/2023","preserved",77,3,4,6,1,6,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
"7/14/2022","SFE-M-3","TM","Final","10/23/2023","preserved",62,7,10,5,2,4,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"7/28/2022","SFE-M-3","TM","Final","10/25/2023","preserved",54,2,8,12,3,10,5,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0
"8/10/2022","SFE-M-3","TM","Final","10/26/2023","preserved",70,2,3,7,5,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"8/23/2022","SFE-M-3","TM","Final","10/31/2023","preserved",80,5,3,5,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
