"site_reach","field_date","triplicate","triplicate_no","area_scraped_cm_2","volume_scraped_mL","macroalgal_displacement_mL","dry_sample_filter_tin_g","ash_filter_tin_g","afdm_filter_g","afdm_sample_filtered_mL","Chla_ug_L","Pheo_ug_L","Chla_Pheo_flag","neg_Pheo_flag","chla_sample_filtered_mL"
"RUS-1S",2022-06-24,"n",0,173.27,362,0.5,1.4774,1.46314,0.0142599999999999,23,1010.22711663101,285.817810545339,"n","n",18
"blank",2022-06-25,"n",0,NA,NA,NA,1.3964,1.39468,0.00172000000000017,NA,0.346398416534062,3.11712544377469,"y","n",15
"SAL-1S",2022-06-27,"n",0,275,299,0.2,1.41683,1.40867,0.00815999999999995,21,522.763230253492,80.299775592602,"n","n",29
"SAL-3",2022-06-27,"n",0,269.63,235,0.5,1.42087,1.41019,0.01068,22,701.565079552514,176.597777480411,"n","n",19
"SFE-M-1S",2022-06-29,"n",0,215.75,251,0.9,1.4228,1.4142,0.00860000000000016,16,748.137923091899,37.460019675165,"n","n",21
"SFE-M-3",2022-06-29,"n",0,215.75,203,1,1.43509,1.4269,0.00818999999999992,22,1019.65481261453,23.4761246403942,"n","n",21
"SFE-M-4",2022-06-29,"n",0,194.75,245,1.5,1.4273,1.41592,0.0113799999999999,23,937.74334588978,170.991935449934,"n","n",20
"blank",2022-06-30,"n",0,NA,NA,NA,1.42385,1.42204,0.00181000000000009,NA,-0.291268646211481,0.897613415894597,"y","n",15
"RUS-1S",2022-07-06,"n",0,180.77,224,0.5,1.441,1.43186,0.00914000000000015,16,924.760392681775,282.669685592062,"n","n",16
"RUS-2",2022-07-06,"y",1,244.52,618,1.9,1.4739,1.45381,0.0200899999999999,18,2584.5363578567,153.605680782079,"n","n",15
"RUS-2",2022-07-06,"y",2,NA,NA,NA,1.4695,1.45574,0.01376,15,2174.99812740246,141.470642947344,"n","n",17
"RUS-2",2022-07-06,"y",3,NA,NA,NA,1.5088,1.47447,0.03433,21,2311.95546902777,235.716230891286,"n","n",16
"RUS-3",2022-07-07,"n",0,233,384,2.5,1.5006,1.46905,0.03155,20,1223.31210462795,288.307506329353,"n","n",24
"blank",2022-07-07,"n",0,NA,NA,NA,1.4203,1.4171,0.00319999999999987,NA,1.03588893694836,0.709056615595155,"y","n",15
"SAL-1S",2022-07-12,"n",0,275,347,0.01,1.41081,1.40599,0.00481999999999982,15,517.315526555724,159.796280397342,"n","n",16
"SAL-2",2022-07-12,"n",0,265.52,272,0.9,1.42117,1.41549,0.00568000000000013,17,514.777593382859,124.193743970647,"n","n",18
"SAL-3",2022-07-12,"n",0,275,301,0.6,1.41728,1.40916,0.00812000000000013,20,468.976949058095,158.119735707073,"n","n",20
"blank",2022-07-13,"n",0,NA,NA,NA,1.4225,1.42098,0.00152000000000019,NA,-0.311180200410849,2.07887332215946,"y","n",15
"SFE-M-1S",2022-07-14,"n",0,249.5,342,1.5,1.47142,1.44637,0.02505,18,1394.10688687502,97.7124164281723,"n","n",20
"SFE-M-3",2022-07-14,"n",0,227.27,258,0.9,1.435,1.41938,0.01562,15,1967.61870139047,324.538757535661,"n","n",16
"SFE-M-4",2022-07-14,"n",0,198.5,258,1.2,1.43863,1.4238,0.0148300000000001,14,1448.95508140268,156.000066024106,"n","n",16
"blank",2022-07-15,"n",0,NA,NA,NA,1.40762,1.40586,0.00175999999999998,NA,-0.027012298088227,0.818317032763294,"y","n",15
"RUS-1S",2022-07-20,"n",0,138.77,376,0.5,1.4513,1.4412,0.0101,19,1348.94442498846,119.280431399479,"n","n",16
"RUS-2",2022-07-20,"n",0,211.25,396,1.6,1.72909,1.703,0.0260899999999999,17,1946.79103356977,41.8500625939435,"n","n",19
"RUS-3",2022-07-20,"n",0,257.27,347,1.6,1.47806,1.4572,0.0208599999999999,18,NA,NA,NA,NA,NA
"blank",2022-07-21,"n",0,NA,NA,NA,1.41832,1.4164,0.00191999999999992,NA,-0.749575154825341,9.02699104972608,"y","n",15
"SAL-1S",2022-07-26,"n",0,237.25,282,2.4,1.42739,1.4098,0.01759,20,2338.80616151441,-376.583953313997,"n","y",16
"SAL-3",2022-07-26,"n",0,275,245,0.6,1.44118,1.4347,0.00647999999999982,13,NA,NA,NA,NA,NA
"SAL-2",2022-07-26,"y",1,236.75,296,1.1,1.4346,1.4251,0.00950000000000006,17,1331.0249517365,-26.2560430313084,"n","y",14
"SAL-2",2022-07-26,"y",2,NA,NA,NA,1.43866,1.4309,0.00775999999999999,14,1748.56757919345,-220.529338894134,"n","y",17
"SAL-2",2022-07-26,"y",3,NA,NA,NA,1.4105,1.4012,0.00930000000000009,16,759.044603448673,122.540186770741,"n","n",13
"blank",2022-07-27,"n",0,NA,NA,NA,1.41764,1.4158,0.00184000000000006,NA,-0.42455725312654,1.61646730819731,"y","n",15
"SFE-M-1S",2022-07-28,"n",0,262.25,358,2.3,1.45494,1.4379,0.0170399999999999,17,1831.2315632907,-155.650804495992,"n","y",17
"SFE-M-3",2022-07-28,"n",0,244.52,271,1.2,1.45243,1.43222,0.0202100000000001,17,1703.06624752396,-171.184275393093,"n","y",18
"SFE-M-4",2022-07-28,"n",0,244.52,268,2.1,1.45382,1.42441,0.0294099999999999,15,1794.11226301629,-508.764541318541,"n","y",20
"blank",2022-07-29,"n",0,NA,NA,NA,1.41832,1.4165,0.00181999999999993,NA,1.07462068587779,1.0720615630446,"y","n",15
"RUS-1S",2022-08-02,"n",0,148.25,347,1.5,1.46571,1.45257,0.0131400000000002,15,1857.00128944262,66.9421541429269,"n","n",16
"RUS-2",2022-08-02,"n",0,207.5,350,1.5,1.45824,1.44764,0.0105999999999999,15,1505.15733055688,206.254195506773,"n","n",18
"RUS-3",2022-08-02,"n",0,231.77,352,1.2,1.48408,1.466,0.0180800000000001,19,2082.80290861147,103.305755866992,"n","n",17
"blank",2022-08-03,"n",0,NA,NA,NA,1.39951,1.39743,0.00208000000000008,NA,0.747958837636632,0.883354366963435,"y","n",15
"SFE-M-1S",2022-08-10,"n",0,249.5,410,1.9,1.43627,1.41762,0.0186499999999998,18,2172.93275028448,-300.699744794754,"n","y",17
"SFE-M-4",2022-08-10,"n",0,236.75,396,2,1.46867,1.44981,0.0188599999999999,17,1837.50187251466,-3.13532430939389,"n","y",16
"SFE-M-3",2022-08-10,"y",1,219.02,329,0.9,1.45963,1.4434,0.01623,15,2244.09562830433,-229.462067634158,"n","y",15
"SFE-M-3",2022-08-10,"y",2,NA,NA,NA,1.44496,1.42799,0.0169699999999999,17,1718.94598488651,-61.5272290935242,"n","y",19
"SFE-M-3",2022-08-10,"y",3,NA,NA,NA,1.48894,1.46191,0.0270299999999999,21,2410.88199282074,-92.3202038251355,"n","y",14
"blank",2022-08-11,"n",0,NA,NA,NA,1.40739,1.40531,0.00207999999999986,NA,0.423336956673526,6.46400710645087,"y","n",15
