"field_date","site_reach","sample_type","date_analyzed","method","slide_rep","non_algal","non_e_r_diatoms","other_coccoids","aphanothece","chroococcus","epithemia","rhopalodia","nostoc","mougeotia","scenedesmus_no_spines","desmodesmus_spines","ankistrodesmus","lacunastrum","anabaena_and_cylindrospermum","geitlerinema","spirogyra","cladophora","leptolyngbya","homoeothrix","microcoleus","stigeoclonium","oedogonium","lyngbya","oscillatoria","chantransia","tetraedron","oocystis","gloeocystis","phormidium_unknown","pediastrum","euglenoid","closterium","zygnema","calothrix","coelastrum","unknown_green_algae","stauridium","tolypothrix","scytonema","ulothrix","cosmarium","rivularia","gloeotrichia","unknown","nodularia","microcystis","desmid"
2022-06-24,"RUS-1S","NT",2024-02-19,"preserved",1,25.8,30,3,0,0,3,0,0,0,0.3,0.7,0,0,0,0,18,10,4,0.1,0,0.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-24,"RUS-1S","NT",2024-02-19,"preserved",2,15,15,3,0,0,5,0,0,4,0,0.5,0,0,0,0,17,10,2,0,0,19.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-24,"RUS-1S","NT",2024-02-19,"preserved",3,20,22,3,0,0,6,0,0,4,0,0,0,0,0,0,18,12,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-06,"RUS-1S","NT",2024-02-13,"preserved",1,7,25,1,0,0,13,0,0,3,0.1,0,0,0,0,0,12,25.7,5,0,0,0,8,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-06,"RUS-1S","NT",2024-02-13,"preserved",2,9,22,1,0,0,12,0,0,6,0.1,0,0,0,0,0,10,21.9,5,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-06,"RUS-1S","NT",2024-02-13,"preserved",3,8,22,1,0,0,13,0,0,6,0,0,0,0,0,1,10,21,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-20,"RUS-1S","NT",2024-02-20,"preserved",1,8,17,2,0,0,12,6,0,3,0.5,0.5,0,0,5,1,23,13,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-20,"RUS-1S","NT",2024-02-20,"preserved",2,11,15,3,0,0,12,8,0,3,1,1,0,0,5,3,13.9,9,1,0.1,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-20,"RUS-1S","NT",2024-02-20,"preserved",3,11,13,3,0,0,10,0,0,4,0.5,0.5,0,0,7,3,29.8,3,2,0.1,0.1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-02,"RUS-1S","NT",2024-01-30,"preserved",1,12,10,2,0,0,10,4,0,0,0,0.1,0,0,0,2,45.9,0,1,0,0,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
