"","s.RUS","s.SAL","s.SFE-M","index","stat","p.value"
"Abditibacteriota  -  Abditibacteria",1,0,0,1,0.492266752630872,0.004
"Acidobacteriota  -  Acidobacteriae",1,0,0,1,0.197988548337081,0.391
"Acidobacteriota  -  Blastocatellia",1,0,0,1,0.519094085232844,0.006
"Acidobacteriota  -  Holophagae",1,0,0,1,0.478845889691666,0.006
"Acidobacteriota  -  NA",1,0,0,1,0.691169110953681,0.001
"Acidobacteriota  -  Thermoanaerobaculia",1,0,0,1,0.562855207603866,0.001
"Acidobacteriota  -  Vicinamibacteria",1,0,0,1,0.584505960679217,0.001
"Actinobacteriota  -  Acidimicrobiia",1,1,0,4,0.334919250822966,0.079
"Actinobacteriota  -  Actinobacteria",1,0,0,1,0.678385413358153,0.001
"Actinobacteriota  -  Thermoleophilia",1,0,0,1,0.60799458139189,0.001
"Armatimonadota  -  Armatimonadia",0,1,0,2,0.106191505407657,0.788
"Armatimonadota  -  Chthonomonadetes",1,0,0,1,0.663145928550201,0.001
"Armatimonadota  -  Fimbriimonadia",0,1,0,2,0.705112555406279,0.001
"Bacteroidota  -  Bacteroidia",0,1,1,6,0.311504626366617,0.109
"Bacteroidota  -  Ignavibacteria",1,0,0,1,0.632714226479752,0.001
"Bacteroidota  -  Kapabacteria",1,0,0,1,0.0982453071982911,0.785
"Bacteroidota  -  NA",1,0,0,1,0.709381284434546,0.001
"Bdellovibrionota  -  Bdellovibrionia",1,0,1,5,0.418747797573598,0.012
"Bdellovibrionota  -  Oligoflexia",1,1,0,4,0.274849826166032,0.156
"Chloroflexiota  -  Anaerolineae",1,0,1,5,0.443316592455075,0.005
"Chloroflexiota  -  Chloroflexia",1,0,0,1,0.384867289468632,0.029
"Chloroflexiota  -  NA",1,0,0,1,0.67092266644301,0.001
"Cyanobacteria  -  Cyanobacteriia",0,1,1,6,0.561548224899077,0.001
"Cyanobacteria  -  Sericytochromatia",1,0,0,1,0.135561676832772,0.644
"Cyanobacteria  -  Vampirivibrionia",0,1,0,2,0.0631757071527292,0.916
"Deinococcota  -  Deinococci",0,1,0,2,0.634055275687251,0.001
"Desulfobacterota  -  Desulfobulbia",1,0,0,1,0.67221945508119,0.001
"Desulfobacterota  -  Desulfovibrionia",1,0,1,5,0.429280520734731,0.01
"Desulfobacterota  -  Desulfuromonadia",1,0,1,5,0.512339765013206,0.001
"Fibrobacterota  -  Fibrobacteria",1,0,0,1,0.346585484443136,0.061
"Firmicutes  -  Bacilli",1,0,0,1,0.411448041947721,0.026
"Firmicutes  -  Clostridia",1,0,0,1,0.425206911283934,0.013
"Fusobacteriota  -  Fusobacteriia",1,0,0,1,0.348858707577157,0.05
"Gemmatimonadota  -  Gemmatimonadetes",1,0,0,1,0.336602879434019,0.061
"Myxococcota  -  Myxococcia",1,0,1,5,0.271268856430186,0.179
"Myxococcota  -  Polyangia",1,0,0,1,0.388982469097993,0.034
"NA  -  NA",1,0,0,1,0.49593792190953,0.002
"Patescibacteria  -  Gracilibacteria",0,1,1,6,0.305609945236828,0.111
"Patescibacteria  -  Parcubacteria",0,0,1,3,0.141122833016173,0.619
"Planctomycetota  -  NA",1,0,0,1,0.354605324543397,0.049
"Planctomycetota  -  Phycisphaerae",1,0,0,1,0.293235194559856,0.133
"Planctomycetota  -  Planctomycetes",1,0,0,1,0.594254488495738,0.001
"Proteobacteria  -  Alphaproteobacteria",1,1,0,4,0.248360641261389,0.251
"Proteobacteria  -  Gammaproteobacteria",1,1,0,4,0.430757666078038,0.014
"Spirochaetota  -  Spirochaetia",1,0,0,1,0.359565498534361,0.026
"Sumerlaeota  -  Sumerlaeia",0,0,1,3,0.375836182137066,0.049
"Verrucomicrobiota  -  Chlamydiae",1,0,1,5,0.29604735475606,0.127
"Verrucomicrobiota  -  Kiritimatiellae",1,0,0,1,0.673715741741031,0.001
"Verrucomicrobiota  -  Verrucomicrobiae",1,0,0,1,0.522876190138747,0.002
"Actinobacteriota  -  Coriobacteriia",1,0,0,1,0.593531327506732,0.001
"Bacteroidota  -  Kryptonia",1,0,0,1,0.464102957419221,0.006
"Dependentiae  -  Babeliae",0,1,1,6,0.0871627098322537,0.843
"Desulfobacterota  -  Desulfobaccia",1,0,0,1,0.528228628975124,0.002
"Desulfobacterota  -  Desulfobacteria",1,0,0,1,0.613461172054558,0.001
"Desulfobacterota  -  NA",1,0,0,1,0.677575593030077,0.001
"Desulfobacterota  -  Syntrophobacteria",1,0,0,1,0.757291403429342,0.001
"Elusimicrobiota  -  NA",1,0,0,1,0.712961092086696,0.001
"Gemmatimonadota  -  NA",1,0,0,1,0.294901315361129,0.096
"Latescibacterota  -  Latescibacteria",1,0,0,1,0.506508068642638,0.004
"Latescibacterota  -  Latescibacterota",1,0,0,1,0.515416543756001,0.002
"Margulisbacteria  -  Margulisbacteria",1,1,0,4,0.321466029279925,0.066
"Nanoarchaeota  -  Nanoarchaeia",1,0,0,1,0.454293646428991,0.006
"Nitrospirota  -  Nitrospiria",1,1,0,4,0.310944705626822,0.09
"Actinobacteriota  -  NA",1,0,0,1,0.609268021949282,0.001
"Campylobacterota  -  Campylobacteria",1,0,0,1,0.250845616565067,0.241
"Elusimicrobiota  -  Elusimicrobia",1,0,0,1,0.340183069557657,0.073
"Euryarchaeota  -  Methanobacteria",1,0,0,1,0.453213378694372,0.005
"Firmicutes  -  Desulfitobacteriia",1,0,0,1,0.28517612036572,0.183
"Firmicutes  -  NA",0,1,0,2,0.135654556357071,0.673
"Hydrogenedentes  -  Hydrogenedentia",1,0,0,1,0.349946451208259,0.057
"Proteobacteria  -  Magnetococcia",1,0,0,1,0.27309932299665,0.166
"Spirochaetota  -  Leptospirae",1,0,0,1,0.32848741371314,0.075
"Spirochaetota  -  NA",1,0,1,5,0.130518174544988,0.664
"Verrucomicrobiota  -  Lentisphaeria",1,0,0,1,0.514215089305544,0.003
"Verrucomicrobiota  -  Omnitrophia",1,0,0,1,0.526007811902827,0.002
"Zixibacteria  -  Zixibacteria",1,0,0,1,0.429836624288451,0.006
"Desulfobacterota  -  Desulfomonilia",1,0,0,1,0.353393539043399,0.043
"Firmicutes  -  Negativicutes",1,1,0,4,0.103712557786599,0.796
"Nitrospinota  -  NA",1,0,0,1,0.327263100809911,0.077
"Bacteroidota  -  Rhodothermia",0,0,1,3,0.480983376243969,0.002
"Desulfobacterota  -  Syntrophia",1,0,0,1,0.450064596937906,0.007
"Fibrobacterota  -  Chitinivibrionia",1,0,0,1,0.281982272658121,0.126
