"","s.RUS","s.SAL","s.SFE-M","index","stat","p.value"
"anabaena_and_cylindrospermum",1,0,1,5,0.479957353136775,0.003
"ankistrodesmus",0,0,1,3,0.347352879349627,0.036
"aphanothece",0,0,1,3,0.324200229250161,0.047
"calothrix",0,0,1,3,0.23139537558044,0.219
"chantransia",1,0,0,1,0.283470171405994,0.12
"chroococcus",0,0,1,3,0.0796901704210457,0.866
"cladophora",0,0,1,3,0.578172037221887,0.001
"closterium",1,0,0,1,0.188982236504614,0.584
"coelastrum",0,0,1,3,0.521159858392068,0.001
"cosmarium",0,0,1,3,0.458841611704854,0.001
"desmodesmus_spines",1,0,0,1,0.0327687401845578,0.974
"epithemia",1,0,1,5,0.59418723159556,0.001
"euglenoid",1,0,1,5,0.131467999305595,0.848
"geitlerinema",0,1,1,6,0.203972271335187,0.371
"gloeocystis",1,1,0,4,0.0714591996481114,0.892
"gloeotrichia",0,0,1,3,0.256073759865792,0.366
"homoeothrix",0,1,0,2,0.616253991539722,0.001
"lacunastrum",0,0,1,3,0.34704513739888,0.05
"leptolyngbya",0,1,0,2,0.457404522227486,0.007
"lyngbya",1,0,0,1,0.160293140331335,0.544
"microcoleus",0,1,1,6,0.434861487253211,0.006
"mougeotia",1,0,0,1,0.493765838012545,0.003
"non_e_r_diatoms",1,1,0,4,0.53378342925674,0.001
"nostoc",0,0,1,3,0.562439782699732,0.001
"oedogonium",1,0,1,5,0.39211386199622,0.026
"oocystis",0,0,1,3,0.0860286041610494,0.914
"oscillatoria",1,0,0,1,0.230178078982675,0.237
"other_coccoids",0,1,0,2,0.327910666421857,0.028
"pediastrum",1,0,1,5,0.13064822744104,1
"phormidium_unknown",1,0,0,1,0.356409815521816,0.011
"rhopalodia",1,0,1,5,0.353194280882166,0.037
"rivularia",0,0,1,3,0.367224248302866,0.021
"scenedesmus_no_spines",1,0,1,5,0.444782158702388,0.007
"scytonema",0,1,1,6,0.131575970558463,1
"spirogyra",1,0,1,5,0.672834763815833,0.001
"stauridium",0,0,1,3,0.576739739945839,0.002
"stigeoclonium",1,1,0,4,0.522737227567931,0.001
"tetraedron",0,0,1,3,0.476483943381234,0.003
"tolypothrix",0,1,0,2,0.25,0.226
"ulothrix",0,1,0,2,0.327112784187881,0.04
"unknown",0,0,1,3,0.488921261334598,0.004
"unknown_green_algae",0,1,0,2,0.345871740374967,0.007
"zygnema",0,0,1,3,0.218334644693926,0.312
