"s.RUS","s.SAL","s.SFE-M","index","stat","p.value"
1,0,0,1,0.492266752630872,0.005
1,0,0,1,0.492487708666077,0.004
1,0,0,1,0.634039358746748,0.001
0,1,0,2,0.512657155528068,0.003
0,1,1,6,0.293047738712204,0.137
1,0,0,1,0.258169900452602,0.206
1,0,0,1,0.47644143387796,0.003
0,1,1,6,0.5611647724017,0.001
0,1,0,2,0.634055275687251,0.001
1,0,0,1,0.573881883647712,0.001
1,0,0,1,0.351222781940746,0.057
1,0,0,1,0.480763111191275,0.004
1,0,0,1,0.348858707577157,0.051
1,0,0,1,0.339295541638374,0.06
1,0,0,1,0.324441744966516,0.092
0,1,1,6,0.211918837735386,0.364
1,0,0,1,0.54747306628825,0.002
1,1,0,4,0.392982989357495,0.033
1,0,0,1,0.375857372242466,0.029
0,0,1,3,0.375836182137066,0.031
1,0,0,1,0.527165040005885,0.004
0,1,1,6,0.0871627098322537,0.846
1,0,0,1,0.674590298434712,0.001
1,0,0,1,0.538094380565218,0.001
1,1,0,4,0.321466029279925,0.069
1,0,0,1,0.454293646428991,0.009
1,1,0,4,0.302118848603302,0.112
1,0,0,1,0.250845616565067,0.242
1,0,0,1,0.453213378694372,0.005
1,0,0,1,0.349946451208259,0.062
1,0,0,1,0.429836624288451,0.01
1,0,0,1,0.327263100809911,0.088
1,0,0,1,0.243595601155231,0.209
1,0,0,1,0.375692902904504,0.011
0,0,1,3,0.272351346296035,0.168
1,0,0,1,0.285476847753789,0.177
1,0,0,1,0.2,0.568
1,0,0,1,0.2,0.568
1,0,0,1,0.2,0.553
0,1,0,2,0.262612865719445,0.181
0,0,1,3,0.179605302026775,1
0,0,1,3,0.179605302026775,1
