"","s.RUS","s.SAL","s.SFE-M","index","stat","p.value"
"calothrix",0,0,1,3,0.239045721866879,0.467
"e_diatoms",0,0,1,3,0.368579890491235,0.543
"gloeotrichia",0,0,1,3,0.239045721866879,0.467
"homoeothrix",1,0,0,1,0.21320071635561,1
"lyngbya",1,0,0,1,0.195022729146614,1
"microcoleus",1,0,1,5,0.292854245806723,0.815
"nodularia",0,0,1,3,0.498696731865976,0.181
"non_e_diatoms",0,1,0,2,0.246440329531661,0.816
"nostoc",1,0,1,5,0.243489113425041,0.534
"oscillatoria",1,1,0,4,0.405196699954031,0.384
"other_coccoids",0,1,0,2,0.536314321175936,0.241
"scytonema",0,0,1,3,0.239045721866879,0.467
"unknown",1,0,0,1,0.29041251739102,0.537
"leptolyngbya_geitlerinema",0,1,0,2,0.483478209078103,0.318
