"","s.SAL","s.SFE-M","index","stat","p.value"
"anabaena_and_cylindrospermum",0,1,2,0.600194077899763,0.017
"chroococcus",0,1,2,0.24884151580483,0.583
"e_diatoms",0,1,2,0.970456748801977,0.001
"green_algae",0,1,2,0.405216773248571,0.101
"lyngbya",1,0,1,0.21501377029391,0.81
"non_e_diatoms",1,0,1,0.924654464276328,0.001
"nostoc",0,1,2,0.519687327250698,0.034
"oscillatoria",0,1,2,0.197265235385601,0.809
"other_coccoids",1,0,1,0.186292538130697,0.451
"scytonema",0,1,2,0.174077655955698,1
"leptolyngbya_geitlerinema",0,1,2,0.227548818957124,0.356
