"","s.high","s.low","index","stat","p.value"
"anabaena_and_cylindrospermum",1,0,1,0.0375703093949102,0.964
"ankistrodesmus",NA,NA,NA,NA,NA
"aphanothece",1,0,1,0.447213595499958,0.419
"calothrix",1,0,1,0.0483930384686493,0.829
"chantransia",1,0,1,0.652402605540989,0.146
"chroococcus",0,1,2,0.805863972533078,0.053
"cladophora",1,0,1,0.635715504246128,0.144
"closterium",1,0,1,0.447213595499958,0.409
"coelastrum",NA,NA,NA,NA,NA
"cosmarium",NA,NA,NA,NA,NA
"desmid",NA,NA,NA,NA,NA
"desmodesmus_spines",0,1,2,0.374010031204265,0.495
"epithemia",0,1,2,0.611446217719096,0.174
"euglenoid",NA,NA,NA,NA,NA
"gloeocystis",1,0,1,0.447213595499958,0.419
"gloeotrichia",NA,NA,NA,NA,NA
"lacunastrum",0,1,2,0.377964473009227,1
"leptolyngbya_and_geitlerinema",0,1,2,0.706122105960341,0.072
"microcoleus",1,0,1,0.515558842246863,0.097
"microcystis",NA,NA,NA,NA,NA
"miscellaneous_oscillatoriales",1,0,1,0.266106654205056,0.801
"mougeotia",0,1,2,0.574528272226325,0.204
"nodularia",NA,NA,NA,NA,NA
"non_e_r_diatoms",0,1,2,0.806652388740169,0.025
"nostoc",NA,NA,NA,NA,NA
"oedogonium",0,1,2,0.405824723153391,0.335
"oocystis",1,0,1,0.447213595499958,0.419
"oscillatoria",1,0,1,0.309973962252025,0.801
"other_coccoids",1,0,1,0.608259954124354,0.215
"pediastrum",0,1,2,0.377964473009227,1
"phormidium_unknown",1,0,1,0.339274705562449,0.596
"rhopalodia",0,1,2,0.570095844537839,0.176
"rivularia_or_early_stage_gloeotrichia",NA,NA,NA,NA,NA
"scenedesmus_no_spines",0,1,2,0.327536988273619,0.499
"scytonema",NA,NA,NA,NA,NA
"spirogyra",1,0,1,0.178351727531209,0.8
"stauridium",NA,NA,NA,NA,NA
"stigeoclonium",0,1,2,0.459323386817207,0.347
"tetraedron",NA,NA,NA,NA,NA
"tolypothrix",NA,NA,NA,NA,NA
"ulothrix",NA,NA,NA,NA,NA
"unknown",NA,NA,NA,NA,NA
"unknown_green_algae",NA,NA,NA,NA,NA
"zygnema",NA,NA,NA,NA,NA
