"","s.n","s.y","index","stat","p.value"
"ankistrodesmus",1,0,1,0.258198889747161,1
"aphanothece",0,1,2,0.205115858736338,0.742
"calothrix",1,0,1,0.458897508187835,0.119
"chantransia",1,0,1,0.210544613369716,0.434
"chroococcus",0,1,2,0.319641615749164,0.215
"cladophora",0,1,2,0.0528256044204086,0.843
"closterium",0,1,2,0.277350098112615,0.438
"coelastrum",NA,NA,NA,NA,NA
"cosmarium",NA,NA,NA,NA,NA
"desmid",NA,NA,NA,NA,NA
"desmodesmus_spines",1,0,1,0.221961664745487,0.423
"epithemia",0,1,2,0.207074533727086,0.485
"euglenoid",1,0,1,0.258198889747161,1
"gloeocystis",0,1,2,0.277350098112615,0.47
"gloeotrichia",NA,NA,NA,NA,NA
"lacunastrum",0,1,2,0.277350098112615,0.477
"leptolyngbya_and_geitlerinema",1,0,1,0.207108308917942,0.459
"microcoleus",0,1,2,0.162840781326993,0.623
"microcystis",NA,NA,NA,NA,NA
"miscellaneous_oscillatoriales",0,1,2,0.189057217222163,0.583
"mougeotia",0,1,2,0.168454064161837,0.583
"nodularia",NA,NA,NA,NA,NA
"non_e_r_diatoms",1,0,1,0.305762598204854,0.282
"nostoc",NA,NA,NA,NA,NA
"oedogonium",1,0,1,0.00359117392169067,0.986
"oocystis",0,1,2,0.277350098112615,0.47
"oscillatoria",0,1,2,0.463554276525736,0.023
"other_coccoids",1,0,1,0.160301480713361,0.537
"pediastrum",0,1,2,0.277350098112615,0.474
"phormidium_unknown",0,1,2,0.538266282021607,0.008
"rhopalodia",0,1,2,0.279723917908783,0.315
"rivularia_or_early_stage_gloeotrichia",NA,NA,NA,NA,NA
"scenedesmus_no_spines",1,0,1,0.654564126713334,0.003
"scytonema",NA,NA,NA,NA,NA
"spirogyra",1,0,1,0.0419250873516871,0.893
"stauridium",NA,NA,NA,NA,NA
"stigeoclonium",1,0,1,0.135817606123677,0.621
"tetraedron",1,0,1,0.258198889747161,1
"tolypothrix",NA,NA,NA,NA,NA
"ulothrix",NA,NA,NA,NA,NA
"unknown",NA,NA,NA,NA,NA
"unknown_green_algae",NA,NA,NA,NA,NA
"zygnema",NA,NA,NA,NA,NA
