"","s.high","s.low","index","stat","p.value"
"anabaena_and_cylindrospermum",1,0,1,0.689016628047996,0.004
"ankistrodesmus",1,0,1,0.0963725458571453,0.756
"aphanothece",1,0,1,0.252971363022803,0.372
"calothrix",1,0,1,0.104299643500304,0.716
"chantransia",NA,NA,NA,NA,NA
"chroococcus",0,1,2,0.108989205374625,0.892
"cladophora",1,0,1,0.140932231440671,0.624
"closterium",NA,NA,NA,NA,NA
"coelastrum",1,0,1,0.215249099428926,0.448
"cosmarium",1,0,1,0.533273040329244,0.03
"desmid",1,0,1,0.277350098112615,0.445
"desmodesmus_spines",1,0,1,0.336659103110255,0.221
"epithemia",1,0,1,0.681092425730366,0.001
"euglenoid",0,1,2,0.258198889747161,1
"gloeocystis",1,0,1,0.0226962660515152,1
"gloeotrichia",0,1,2,0.258198889747161,1
"lacunastrum",1,0,1,0.0228725873781479,0.843
"leptolyngbya_and_geitlerinema",1,0,1,0.350640411794449,0.202
"microcoleus",1,0,1,0.26955258164351,0.356
"microcystis",0,1,2,0.258198889747161,1
"miscellaneous_oscillatoriales",0,1,2,0.000367071389571282,1
"mougeotia",1,0,1,0.071145749005392,0.81
"nodularia",1,0,1,0.277350098112615,0.479
"non_e_r_diatoms",1,0,1,0.0639101214091419,0.815
"nostoc",0,1,2,0.0165046676385155,0.962
"oedogonium",1,0,1,0.0177674311740922,0.961
"oocystis",0,1,2,0.182735171557608,1
"oscillatoria",1,0,1,0.277350098112615,0.479
"other_coccoids",1,0,1,0.132051129719328,0.626
"pediastrum",1,0,1,0.277350098112615,0.48
"phormidium_unknown",NA,NA,NA,NA,NA
"rhopalodia",1,0,1,0.610097200297228,0.024
"rivularia_or_early_stage_gloeotrichia",1,0,1,0.139962263979316,0.666
"scenedesmus_no_spines",1,0,1,0.617605287618862,0.018
"scytonema",0,1,2,0.258198889747161,1
"spirogyra",0,1,2,0.511106252373909,0.054
"stauridium",1,0,1,0.0511294391992676,0.842
"stigeoclonium",0,1,2,0.041678582966159,0.77
"tetraedron",1,0,1,0.159820095954664,0.52
"tolypothrix",NA,NA,NA,NA,NA
"ulothrix",NA,NA,NA,NA,NA
"unknown",1,0,1,0.304814545889223,0.262
"unknown_green_algae",NA,NA,NA,NA,NA
"zygnema",0,1,2,0.240226271240187,0.469
