"","s.high","s.low","s.medium","s.none","index","stat","p.value"
"anabaena_and_cylindrospermum",1,0,0,0,1,0.393338304876495,0.853
"ankistrodesmus",0,0,0,1,4,0.311085508419128,1
"aphanothece",0,0,1,0,3,0.638523235709596,0.179
"calothrix",1,0,0,1,7,0.635614562312662,0.241
"chantransia",1,0,0,0,1,0.559887985533253,0.29
"chroococcus",0,1,0,0,2,0.690041650786419,0.203
"cladophora",0,0,1,0,3,0.839341511519973,0.047
"closterium",1,0,0,0,1,1,0.051
"coelastrum",NA,NA,NA,NA,NA,NA,NA
"cosmarium",NA,NA,NA,NA,NA,NA,NA
"desmid",NA,NA,NA,NA,NA,NA,NA
"desmodesmus_spines",0,1,1,1,14,0.523994241540153,0.52
"epithemia",0,1,0,0,2,0.487267971729437,0.614
"euglenoid",0,0,0,1,4,0.311085508419128,1
"gloeocystis",0,0,1,0,3,0.654653670707977,0.226
"gloeotrichia",NA,NA,NA,NA,NA,NA,NA
"lacunastrum",0,1,0,0,2,0.447213595499958,0.497
"leptolyngbya_and_geitlerinema",0,1,0,1,9,0.636165947105838,0.26
"microcoleus",0,0,1,0,3,0.618179631228295,0.206
"microcystis",NA,NA,NA,NA,NA,NA,NA
"miscellaneous_oscillatoriales",0,0,1,0,3,0.580666789562259,0.249
"mougeotia",1,1,0,0,5,0.434688540108986,0.602
"nodularia",NA,NA,NA,NA,NA,NA,NA
"non_e_r_diatoms",1,1,0,1,12,0.703298801569222,0.199
"nostoc",NA,NA,NA,NA,NA,NA,NA
"oedogonium",1,1,0,1,12,0.794103510817504,0.059
"oocystis",0,0,1,0,3,0.654653670707977,0.226
"oscillatoria",0,0,1,0,3,0.536802703504767,0.285
"other_coccoids",1,0,0,0,1,0.52006816369158,0.594
"pediastrum",0,1,0,0,2,0.447213595499958,0.478
"phormidium_unknown",0,0,1,0,3,0.595485528060604,0.201
"rhopalodia",1,1,0,0,5,0.592795197086888,0.323
"rivularia_or_early_stage_gloeotrichia",NA,NA,NA,NA,NA,NA,NA
"scenedesmus_no_spines",0,0,0,1,4,0.69755607404689,0.164
"scytonema",NA,NA,NA,NA,NA,NA,NA
"spirogyra",0,0,1,0,3,0.169154334891181,0.972
"stauridium",NA,NA,NA,NA,NA,NA,NA
"stigeoclonium",0,1,0,1,9,0.429719042814307,0.717
"tetraedron",0,0,0,1,4,0.311085508419128,1
"tolypothrix",NA,NA,NA,NA,NA,NA,NA
"ulothrix",NA,NA,NA,NA,NA,NA,NA
"unknown",NA,NA,NA,NA,NA,NA,NA
"unknown_green_algae",NA,NA,NA,NA,NA,NA,NA
"zygnema",NA,NA,NA,NA,NA,NA,NA
