"","s.high","s.low","s.medium","s.none","index","stat","p.value"
"anabaena_and_cylindrospermum",1,0,1,0,6,0.744150825687174,0.026
"ankistrodesmus",1,1,1,0,11,0.424256592282823,0.459
"aphanothece",1,0,1,0,6,0.451834639992637,0.408
"calothrix",0,1,1,0,8,0.438738027148992,0.45
"chantransia",NA,NA,NA,NA,NA,NA,NA
"chroococcus",1,1,0,0,5,0.369009520443539,0.589
"cladophora",0,0,1,0,3,0.38463240307722,0.567
"closterium",NA,NA,NA,NA,NA,NA,NA
"coelastrum",1,0,0,1,7,0.211604259521112,0.908
"cosmarium",1,0,1,0,6,0.620364340296341,0.087
"desmid",1,0,0,0,1,0.447213595499958,0.523
"desmodesmus_spines",1,0,1,0,6,0.41293134730212,0.52
"epithemia",1,0,1,0,6,0.815626553934728,0.003
"euglenoid",0,1,0,0,2,0.29277002188456,1
"gloeocystis",0,1,0,0,2,0.420066081112288,0.499
"gloeotrichia",0,1,0,0,2,0.29277002188456,1
"lacunastrum",1,1,0,0,5,0.411958276292765,0.563
"leptolyngbya_and_geitlerinema",0,0,1,0,3,0.562217979403362,0.205
"microcoleus",1,0,0,1,7,0.303483992077446,0.74
"microcystis",0,1,0,0,2,0.29277002188456,1
"miscellaneous_oscillatoriales",0,0,0,1,4,0.411096875057231,0.541
"mougeotia",1,1,0,1,12,0.54088718259942,0.242
"nodularia",0,0,1,0,3,0.654653670707977,0.118
"non_e_r_diatoms",1,1,0,0,5,0.018620542569696,1
"nostoc",1,0,0,1,7,0.517312618099107,0.259
"oedogonium",1,1,1,0,11,0.506252109109191,0.333
"oocystis",1,1,0,0,5,0.250453602977026,1
"oscillatoria",0,0,1,0,3,0.654653670707977,0.118
"other_coccoids",0,0,1,0,3,0.393073804948974,0.578
"pediastrum",1,0,0,0,1,0.447213595499958,0.496
"phormidium_unknown",NA,NA,NA,NA,NA,NA,NA
"rhopalodia",1,1,1,0,11,0.763023135798864,0.01
"rivularia_or_early_stage_gloeotrichia",1,0,0,0,1,0.528025703751969,0.202
"scenedesmus_no_spines",0,0,1,0,3,0.675604638472708,0.062
"scytonema",0,1,0,0,2,0.29277002188456,1
"spirogyra",0,1,0,0,2,0.601251285643372,0.124
"stauridium",1,1,1,0,11,0.472172594964901,0.36
"stigeoclonium",0,1,0,0,2,0.451814603323504,0.383
"tetraedron",1,1,0,0,5,0.526060631065904,0.245
"tolypothrix",NA,NA,NA,NA,NA,NA,NA
"ulothrix",NA,NA,NA,NA,NA,NA,NA
"unknown",1,0,1,0,6,0.286749986287791,0.88
"unknown_green_algae",NA,NA,NA,NA,NA,NA,NA
"zygnema",0,1,0,0,2,0.502612043742445,0.289
