"","s.high","s.low","s.medium","index","stat","p.value"
"calothrix",0,1,0,2,0.426401432711221,1
"e_diatoms",0,1,0,2,0.737137313323047,0.347
"gloeotrichia",NA,NA,NA,NA,NA,NA
"leptolyngbya_and_geitlerinema",1,1,0,4,0.459011570964985,0.628
"microcoleus",0,1,0,2,0.38105347496525,0.846
"miscellaneous_oscillatoriales",1,0,0,1,1,0.14
"nodularia",NA,NA,NA,NA,NA,NA
"non_e_diatoms",0,0,1,3,0.573434595403496,0.586
"nostoc",0,1,0,2,0.426401432711221,1
"oscillatoria",0,0,1,3,0.780541076603857,0.201
"other_coccoids",0,0,1,3,0.190965261909586,0.965
"phormidium_unknown",0,0,1,3,0.421244751222394,0.81
"scytonema",NA,NA,NA,NA,NA,NA
"unknown",1,0,0,1,0.89104094625652,0.154
