"","s.high","s.low","s.medium","s.none","index","stat","p.value"
"calothrix",0,0,0,1,4,0.654653670707977,0.263
"e_diatoms",1,1,1,0,11,0.754987985667512,0.082
"gloeotrichia",0,0,0,1,4,0.654653670707977,0.263
"leptolyngbya_and_geitlerinema",1,1,0,0,5,0.543689210097955,0.507
"microcoleus",1,0,0,0,1,0.73560627185536,0.129
"miscellaneous_oscillatoriales",0,0,1,0,3,0.447213595499958,0.567
"nodularia",0,1,1,0,8,0.879675166587307,0.023
"non_e_diatoms",0,1,1,1,14,0.643961469279319,0.289
"nostoc",0,0,0,1,4,0.888141914958406,0.094
"oscillatoria",0,0,0,1,4,0.612877252074845,0.155
"other_coccoids",0,0,1,1,10,0.491524761481346,0.623
"phormidium_unknown",NA,NA,NA,NA,NA,NA,NA
"scytonema",0,0,0,1,4,0.654653670707977,0.263
"unknown",0,0,1,0,3,0.447213595499958,0.567
