Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,3125.57,RFU,S,0,0,
SAMPLE-002,2540.81,RFU,BU,0,0,
SAMPLE-003,2464.4,RFU,BA,0,0,
SAMPLE-004,3056646.25,RFU,U,1,10,
SAMPLE-005,1757239.5,RFU,A,1,10,
SAMPLE-006,2324851.5,RFU,U,2,10,
SAMPLE-007,1324124.75,RFU,A,2,10,
SAMPLE-008,2479328.25,RFU,U,3,10,
SAMPLE-009,1467008.25,RFU,A,3,10,
SAMPLE-010,4766494.5,RFU,U,4,10,
SAMPLE-011,2659133.25,RFU,A,4,10,
SAMPLE-012,3246918.5,RFU,U,5,10,
SAMPLE-013,1951158.75,RFU,A,5,10,
SAMPLE-014,19389.15,RFU,U,6,10,
SAMPLE-015,26219.77,RFU,A,6,10,
SAMPLE-016,1413165.88,RFU,U,7,10,
SAMPLE-017,886836.44,RFU,A,7,10,
SAMPLE-018,3500559.75,RFU,U,8,10,
SAMPLE-019,2075548.25,RFU,A,8,10,
SAMPLE-020,3042315,RFU,U,9,10,
SAMPLE-021,1975242.25,RFU,A,9,10,
SAMPLE-022,14651.42,RFU,U,10,10,
SAMPLE-023,18791.57,RFU,A,10,10,
SAMPLE-024,2335490,RFU,U,11,10,
SAMPLE-025,1404576.38,RFU,A,11,10,
SAMPLE-026,2349976.5,RFU,U,12,10,
SAMPLE-027,1446624.12,RFU,A,12,10,
SAMPLE-028,1520509.62,RFU,U,13,10,
SAMPLE-029,955656.69,RFU,A,13,10,
SAMPLE-030,1551119.88,RFU,U,14,10,
SAMPLE-031,975739.88,RFU,A,14,10,
SAMPLE-032,2006354.5,RFU,U,15,10,
SAMPLE-033,1253926.38,RFU,A,15,10,
SAMPLE-034,6723.78,RFU,U,16,10,
SAMPLE-035,5345.99,RFU,A,16,10,
SAMPLE-036,1922542.5,RFU,U,17,10,
SAMPLE-037,1184714.25,RFU,A,17,10,
SAMPLE-038,845081,RFU,U,18,10,
SAMPLE-039,524462.81,RFU,A,18,10,
SAMPLE-040,818156.5,RFU,U,19,10,
SAMPLE-041,529470.69,RFU,A,19,10,
SAMPLE-042,6439.89,RFU,U,20,10,
SAMPLE-043,5243.03,RFU,A,20,10,
