site_reach,field_date,triplicate,volume_filtered_mL,Rack_ID
SAL-1S,6/28/2023,y,12,1
SAL-1S,6/28/2023,y,11,2
SAL-1S,6/28/2023,y,11,3
SAL-2,6/28/2023,n,16,4
SAL-3,6/28/2023,n,16,5
blank,6/29/2023,n,NA,6
SAL-1S,7/13/2023,n,15,7
SAL-2,7/13/2023,n,17,8
SAL-3,7/13/2023,n,15,9
blank,7/14/2023,n,NA,10
SAL-1S,7/27/2023,n,19,11
SAL-2,7/27/2023,n,16,12
SAL-3,7/27/2023,y,17,13
SAL-3,7/27/2023,y,17,14
SAL-3,7/27/2023,y,14,15
blank,7/28/2023,n,NA,16
SAL-1S,8/10/2023,n,16,17
SAL-2,8/10/2023,n,15,18
SAL-3,8/10/2023,n,17,19
blank,8/11/2023,n,NA,20
