field_date,site_reach,macroalgal_displacement_mL,area_scraped_cm_2,volume_scraped_sample_mL
6/27/2022,SAL-1S,0.2,275,299
7/12/2022,SAL-1S,0.01,275,347
7/26/2022,SAL-1S,2.4,237.25,282
9/22/2022,SAL-1S,1.1,275,480
7/12/2022,SAL-2,0.9,265.52,272
7/26/2022,SAL-2,1.1,236.75,296
9/22/2022,SAL-2,1.8,265.52,445
6/27/2022,SAL-3,0.5,269.63,235
7/12/2022,SAL-3,0.6,275,301
7/26/2022,SAL-3,0.6,275,245
9/22/2022,SAL-3,2,275,395
6/29/2022,SFE-M-1S,0.9,215.75,251
7/14/2022,SFE-M-1S,1.5,249.5,342
7/28/2022,SFE-M-1S,2.3,262.25,358
8/10/2022,SFE-M-1S,1.9,249.5,410
8/23/2022,SFE-M-1S,1,262.25,366
9/6/2022,SFE-M-1S,2.3,249.5,366
9/17/2022,SFE-M-1S,2.9,275,498
6/29/2022,SFE-M-3,1,215.75,203
7/14/2022,SFE-M-3,0.9,227.27,258
7/28/2022,SFE-M-3,1.2,244.52,271
8/10/2022,SFE-M-3,0.9,219.02,329
8/23/2022,SFE-M-3,0.9,252.77,372
9/6/2022,SFE-M-3,0.5,231.77,367
9/17/2022,SFE-M-3,1.6,275,380
6/29/2022,SFE-M-4,1.5,194.75,245
7/14/2022,SFE-M-4,1.2,198.5,258
7/28/2022,SFE-M-4,2.1,244.52,268
8/10/2022,SFE-M-4,2,236.75,396
8/23/2022,SFE-M-4,2.8,265.52,400
9/6/2022,SFE-M-4,2,203,165
9/17/2022,SFE-M-4,0.7,257.27,371
6/24/2022,RUS-1S,0.5,173.27,362
7/6/2022,RUS-1S,0.5,180.77,224
7/20/2022,RUS-1S,0.5,138.77,376
8/2/2022,RUS-1S,1.5,148.25,347
8/17/2022,RUS-1S,1.2,215.75,527
9/1/2022,RUS-1S,2.1,203,413
9/15/2022,RUS-1S,0.8,254,607
7/6/2022,RUS-2,1.9,244.52,618
7/20/2022,RUS-2,1.6,211.25,396
8/2/2022,RUS-2,1.5,207.5,350
8/17/2022,RUS-2,2.5,224,317
9/1/2022,RUS-2,0.9,170,211
9/15/2022,RUS-2,0.9,231.77,433
7/7/2022,RUS-3,2.5,233,384
7/20/2022,RUS-3,1.6,257.27,347
8/2/2022,RUS-3,1.2,231.77,352
8/17/2022,RUS-3,1.9,252.77,546
9/1/2022,RUS-3,2,284.81,522
9/15/2022,RUS-3,2,219.02,403
6/28/2023,SAL-1S,0.2,275,326
7/13/2023,SAL-1S,0.4,236.75,337
7/27/2023,SAL-1S,0.6,275,288
8/10/2023,SAL-1S,0.4,224,297
6/28/2023,SAL-2,0.3,278.27,356
7/13/2023,SAL-2,0.6,265.52,317
7/27/2023,SAL-2,0.4,252.77,207
8/10/2023,SAL-2,0.1,236.75,255
6/28/2023,SAL-3,0.2,237.25,499
7/13/2023,SAL-3,0.6,229,317
7/27/2023,SAL-3,0.3,237.25,393
8/10/2023,SAL-3,0.4,237.25,160
