"field_date","site_reach","macroalgal_displacement_mL","area_scraped_cm_2","volume_scraped_sample_mL","vol_mL_to_area_cm_2","afdm_mg_cm_2","Chla_ug_cm_2","Pheo_ug_cm_2","flag_Pheo","MCY_ug_g","MCY_det_limit","ATXa_ug_g","dhATXa_ug_g","ATX_det_limit"
2022-06-27,"SAL-1S",0.2,275,299,1.08727272727273,0.343795636363636,0.568386203075615,0.0873077560079563,0,0,0.53,0,0,0.4159
2022-07-12,"SAL-1S",0.01,275,347,1.26181818181818,0.2776,0.652758137144859,0.201633851992282,0,0,0.67,0,0,0.5238
2022-07-26,"SAL-1S",2.4,237.25,282,1.1886195995785,0.936037934668072,2.77995084319099,-0.447615067795773,1,0,0.12,0,0,0.094
2022-09-22,"SAL-1S",1.1,275,480,1.74545454545455,1.42638545454545,2.92444958819443,0.168804385643332,0,0,0.12,0,0,0.0959
2022-07-12,"SAL-2",0.9,265.52,272,1.02440494124736,0.25067188912323,0.527340710304827,0.127224684995541,0,0,1.45,0,0,1.1314
2022-07-26,"SAL-2",1.1,236.75,296,1.25026399155227,0.558367898627244,1.59976992858299,-0.0517797645417696,1,0,0.19,0,0,0.1481
2022-09-22,"SAL-2",1.8,265.52,445,1.67595661343778,1.74651438686351,1.79804749509724,0.450507693293311,0,0,0.16,0,0,0.1252
2022-06-27,"SAL-3",0.5,269.63,235,0.871564736861625,0.362919556429181,0.611459383951492,0.153916395460062,0,0,0.25,0,0,0.1951
2022-07-12,"SAL-3",0.6,275,301,1.09454545454545,0.3612,0.513316587878133,0.173069237992105,0,0,2.79,0,0,2.1757
2022-07-26,"SAL-3",0.6,275,245,0.890909090909091,0.317965454545454,NA,NA,NA,0,0.3,0,0,0.2357
2022-09-22,"SAL-3",2,275,395,1.43636363636364,0.982616363636364,2.27159607016138,0.152490026513872,0,0,0.22,0,0,0.1725
2022-06-29,"SFE-M-1S",0.9,215.75,251,1.16338354577057,0.493739976825029,0.870371349692082,0.0435803705143287,0,0,1.2,0,0,0.9428
2022-07-14,"SFE-M-1S",1.5,249.5,342,1.37074148296593,1.77360240480962,1.91096014152808,0.133938462598938,0,0,0.08,0,0,0.0624
2022-07-28,"SFE-M-1S",2.3,262.25,358,1.36510962821735,1.22218265014299,2.49983183854364,-0.212480411857255,1,0,0.16,1.924,0.363,0.1232
2022-08-10,"SFE-M-1S",1.9,249.5,410,1.64328657314629,1.51280961923848,3.57075121289233,-0.494135853169736,1,0,0.12,10.209,2.827,0.0915
2022-08-23,"SFE-M-1S",1,262.25,366,1.39561487130601,1.83314013346044,2.63737123395186,-0.0707699372116967,1,0,0.13,0.665,0,0.0986
