Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,183826.64,RFU,S,0,0,
SAMPLE-002,2766.4,RFU,SBU,0,0,
SAMPLE-003,2713.94,RFU,SBA,0,0,
SAMPLE-004,10899685,RFU,U,41,10,
SAMPLE-005,5656140.5,RFU,A,41,10,
SAMPLE-006,10148922,RFU,U,42,10,
SAMPLE-007,5370743.5,RFU,A,42,10,
SAMPLE-008,10232367,RFU,U,43,10,
SAMPLE-009,5596344,RFU,A,43,10,
SAMPLE-010,10559346,RFU,U,44,10,
SAMPLE-011,5768262.5,RFU,A,44,10,
SAMPLE-012,9389719,RFU,U,45,10,
SAMPLE-013,5216439,RFU,A,45,10,
SAMPLE-014,23399.37,RFU,U,46,10,
SAMPLE-015,22480.05,RFU,A,46,10,
SAMPLE-016,9576181,RFU,U,47,10,
SAMPLE-017,5346633,RFU,A,47,10,
SAMPLE-018,10622885,RFU,U,48,10,
SAMPLE-019,6070188.5,RFU,A,48,10,
SAMPLE-020,11503897,RFU,U,49,10,
SAMPLE-021,6528613.5,RFU,A,49,10,
SAMPLE-022,11266232,RFU,U,50,10,
SAMPLE-023,6417502.5,RFU,A,50,10,
SAMPLE-024,11712583,RFU,U,51,10,
SAMPLE-025,6678411.5,RFU,A,51,10,
SAMPLE-028,19399.71,RFU,U,52,10,
SAMPLE-029,15004.71,RFU,A,52,10,
SAMPLE-030,11305361,RFU,U,53,10,
SAMPLE-031,6208661.5,RFU,A,53,10,
SAMPLE-032,6722598.5,RFU,U,54,10,
SAMPLE-033,4023437.25,RFU,A,54,10,
SAMPLE-034,7341804.5,RFU,U,55,10,
SAMPLE-035,4237236.5,RFU,A,55,10,
SAMPLE-036,27609.36,RFU,U,56,10,
SAMPLE-037,22073.64,RFU,A,56,10,
SAMPLE-038,8522242,RFU,U,57,10,
SAMPLE-039,5057536.5,RFU,A,57,10,
SAMPLE-040,8041113,RFU,U,58,10,
SAMPLE-041,4678580,RFU,A,58,10,
SAMPLE-045,9696778,RFU,U,59,10,
SAMPLE-046,6166039.5,RFU,A,59,10,
SAMPLE-047,109733.41,RFU,U,60,10,
SAMPLE-048,86008.92,RFU,A,60,10,
SAMPLE-049,8105832,RFU,U,61,10,
SAMPLE-050,4679232,RFU,A,61,10,
SAMPLE-051,6474147.5,RFU,U,62,10,
SAMPLE-052,3890780.5,RFU,A,62,10,
SAMPLE-053,4640789,RFU,U,63,10,
SAMPLE-054,2928055.5,RFU,A,63,10,
SAMPLE-055,4525574,RFU,U,64,10,
SAMPLE-056,2931058.25,RFU,A,64,10,
SAMPLE-057,5413843.5,RFU,U,65,10,
SAMPLE-058,3224601.25,RFU,A,65,10,
SAMPLE-059,25333.06,RFU,U,66,10,
SAMPLE-060,20927.12,RFU,A,66,10,
SAMPLE-061,8259326,RFU,U,67,10,
SAMPLE-062,4772856.5,RFU,A,67,10,
SAMPLE-063,9236737,RFU,U,68,10,
SAMPLE-064,5591343.5,RFU,A,68,10,
SAMPLE-065,10017043,RFU,U,69,10,
SAMPLE-066,5971952.5,RFU,A,69,10,
SAMPLE-067,151644.38,RFU,U,70,10,
SAMPLE-068,129923.62,RFU,A,70,10,
SAMPLE-069,9822900,RFU,U,71,10,
SAMPLE-070,5543761.5,RFU,A,71,10,
SAMPLE-071,7524836.5,RFU,U,72,10,
SAMPLE-072,4069146.75,RFU,A,72,10,
SAMPLE-073,8692977,RFU,U,73,10,
SAMPLE-074,4936919.5,RFU,A,73,10,
SAMPLE-075,7548.36,RFU,U,74,10,
SAMPLE-076,6895.88,RFU,A,74,10,
SAMPLE-077,9397429,RFU,U,75,10,
SAMPLE-078,5354331,RFU,A,75,10,
SAMPLE-079,7034961.5,RFU,U,76,10,
SAMPLE-080,4293762,RFU,A,76,10,
SAMPLE-081,10211637,RFU,U,77,10,
SAMPLE-082,5815482,RFU,A,77,10,
SAMPLE-083,9635221,RFU,U,78,10,
SAMPLE-084,5537808,RFU,A,78,10,
SAMPLE-085,10009104,RFU,U,79,10,
SAMPLE-086,5719933.5,RFU,A,79,10,
SAMPLE-087,47153.2,RFU,U,80,10,
SAMPLE-088,41828.9,RFU,A,80,10,
