site_reach,field_date,triplicate,volume_filtered_mL,Rack_ID
SFE-M-1S,8/10/2022,n,17,41
SFE-M-3,8/10/2022,y,15,42
SFE-M-3,8/10/2022,y,19,43
SFE-M-3,8/10/2022,y,14,44
SFE-M-4,8/10/2022,n,16,45
blank,8/11/2022,n,NA,46
RUS-1S,8/17/2022,n,19,47
RUS-2,8/17/2022,n,16,48
RUS-3,8/17/2022,y,16,49
RUS-3,8/17/2022,y,14,50
RUS-3,8/17/2022,y,19,51
blank,8/18/2022,n,NA,52
SFE-M-1S,8/23/2022,n,19,53
SFE-M-3,8/23/2022,n,16,54
SFE-M-4,8/23/2022,n,15,55
blank,8/24/2022,n,NA,56
RUS-1S,9/1/2022,n,15,57
RUS-2,9/1/2022,n,16,58
RUS-3,9/1/2022,n,17,59
blank,9/2/2022,n,NA,60
SFE-M-1S,9/6/2022,n,16,61
SFE-M-3,9/6/2022,y,13,62
SFE-M-3,9/6/2022,y,14,63
SFE-M-3,9/6/2022,y,15,64
SFE-M-4,9/6/2022,n,12,65
blank,9/7/2022,n,NA,66
RUS-1S,9/15/2022,n,19,67
RUS-2,9/15/2022,n,16,68
RUS-3,9/15/2022,n,23,69
blank,9/16/2022,n,NA,70
SFE-M-1S,9/17/2022,n,15,71
SFE-M-3,9/17/2022,n,15,72
SFE-M-4,9/17/2022,n,18,73
blank,9/18/2022,n,NA,74
SAL-1S,9/22/2022,n,17,75
SAL-2,9/22/2022,n,18,76
SAL-3,9/22/2022,y,19,77
SAL-3,9/22/2022,y,18,78
SAL-3,9/22/2022,y,20,79
blank,9/23/2022,n,NA,80
