site_reach,field_date,triplicate,dry_sample_filter_tin_g,ash_filter_tin_g,filtered_amount_mL
RUS-1S,6/24/2022,n,1.4774,1.46314,23
blank,6/25/2022,n,1.3964,1.39468,N/A
SAL-1S,6/27/2022,n,1.41683,1.40867,21
SAL-3,6/27/2022,n,1.42087,1.41019,22
SFE-M-1S,6/29/2022,n,1.4228,1.4142,16
SFE-M-3,6/29/2022,n,1.43509,1.4269,22
SFE-M-4,6/29/2022,n,1.4273,1.41592,23
blank,6/30/2022,n,1.42385,1.42204,N/A
RUS-1S,7/6/2022,n,1.441,1.43186,16
RUS-2,7/6/2022,y,1.4739,1.45381,18
RUS-2,7/6/2022,y,1.4695,1.45574,15
RUS-2,7/6/2022,y,1.5088,1.47447,21
RUS-3,7/6/2022,n,1.5006,1.46905,20
blank,7/7/2022,n,1.4203,1.4171,N/A
SAL-1S,7/12/2022,n,1.41081,1.40599,15
SAL-2,7/12/2022,n,1.42117,1.41549,17
SAL-3,7/12/2022,n,1.41728,1.40916,20
blank,7/13/2022,n,1.4225,1.42098,N/A
SFE-M-1S,7/14/2022,n,1.47142,1.44637,18
SFE-M-3,7/14/2022,n,1.435,1.41938,15
SFE-M-4,7/14/2022,n,1.43863,1.4238,14
blank,7/15/2022,n,1.40762,1.40586,N/A
RUS-1S,7/20/2022,n,1.4513,1.4412,19
RUS-2,7/20/2022,n,1.72909,1.703,17
RUS-3,7/20/2022,n,1.47806,1.4572,18
blank,7/21/2022,n,1.41832,1.4164,N/A
SAL-1S,7/26/2022,n,1.42739,1.4098,20
SAL-2,7/26/2022,y,1.4346,1.4251,17
SAL-2,7/26/2022,y,1.43866,1.4309,14
SAL-2,7/26/2022,y,1.4105,1.4012,16
SAL-3,7/26/2022,n,1.44118,1.4347,13
blank,7/27/2022,n,1.41764,1.4158,N/A
SFE-M-1S,7/28/2022,n,1.45494,1.4379,17
SFE-M-3,7/28/2022,n,1.45243,1.43222,17
SFE-M-4,7/28/2022,n,1.45382,1.42441,15
blank,7/29/2022,n,1.41832,1.4165,N/A
RUS-1S,8/2/2022,n,1.46571,1.45257,15
RUS-2,8/2/2022,n,1.45824,1.44764,15
RUS-3,8/2/2022,n,1.48408,1.466,19
blank,8/3/2022,n,1.39951,1.39743,N/A
SFE-M-1S,8/10/2022,n,1.43627,1.41762,18
SFE-M-3,8/10/2022,y,1.45963,1.4434,15
SFE-M-3,8/10/2022,y,1.44496,1.42799,17
SFE-M-3,8/10/2022,y,1.48894,1.46191,21
SFE-M-4,8/10/2022,n,1.46867,1.44981,17
blank,8/11/2022,n,1.40739,1.40531,N/A
RUS-1S,8/17/2022,n,1.4997,1.47796,20
RUS-2,8/17/2022,n,1.51748,1.48316,16
RUS-3,8/17/2022,y,1.50051,1.47369,22
RUS-3,8/17/2022,y,1.48824,1.46885,16
RUS-3,8/17/2022,y,1.47663,1.45467,17
blank,8/18/2022,n,1.41109,1.40909,N/A
SFE-M-1S,8/23/2022,n,1.45851,1.43437,17
SFE-M-3,8/23/2022,n,1.42292,1.40584,17
SFE-M-4,8/23/2022,n,1.45431,1.43943,17
blank,8/24/2022,n,1.41339,1.41158,N/A
RUS-1S,9/1/2022,n,1.466,1.45051,15
RUS-2,9/1/2022,n,1.46001,1.44415,15
RUS-3,9/1/2022,n,1.52054,1.49609,15
blank,9/2/2022,n,1.41627,1.4145,N/A
SFE-M-1S,9/6/2022,n,1.46169,1.44071,13
SFE-M-3,9/6/2022,y,1.4254,1.40964,16
SFE-M-3,9/6/2022,y,1.45391,1.44153,13
SFE-M-3,9/6/2022,y,1.45086,1.43783,15
SFE-M-4,9/6/2022,n,1.44886,1.43142,12
blank,9/7/2022,n,1.40983,1.40785,N/A
RUS-1S,9/15/2022,n,1.50092,1.47359,25
RUS-2,9/15/2022,n,1.50553,1.47927,18
RUS-3,9/15/2022,n,1.49453,1.47208,20
blank,9/16/2022,n,1.42771,1.42535,N/A
SFE-M-1S,9/17/2022,n,1.47633,1.44224,15
SFE-M-3,9/17/2022,n,1.44518,1.42639,22
SFE-M-4,9/17/2022,n,1.47242,1.4483,22
blank,9/18/2022,n,1.42831,1.42615,N/A
SAL-1S,9/22/2022,n,1.45627,1.43949,18
SAL-2,9/22/2022,n,1.43866,1.41679,19
SAL-3,9/22/2022,y,1.43979,1.42757,15
SAL-3,9/22/2022,y,1.43833,1.42849,12
SAL-3 (3),9/22/2022,y,1.44471,1.43172,15
blank,9/23/2022,n,1.41983,1.41776,N/A
