"test","subtype","sample_type","p_value","F_stat"
"PERMANOVA","ASVs","nt",0.001,10.0109641487387
"PERMANOVA","ASVs","tm",0.001,7.41154170869782
"PERMANOVA","ASVs","tac",0.001,2.44556569054103
"PERMDISP","ASVs","nt",0.63383629092137,0.46061602371539
"PERMDISP","ASVs","tm",0.00929028651466548,8.28537316632923
"PERMDISP","ASVs","tac",0.000122360671607455,13.6711406677951
"PERMANOVA","classes","nt",0.003,6.92838126871626
"PERMANOVA","classes","tm",0.006,4.64883474675064
"PERMANOVA","classes","tac",0.083,1.95702818014896
"PERMDISP","classes","nt",0.455926765089892,0.799292653399918
"PERMDISP","classes","tm",0.0305931009279289,5.4142048671819
"PERMDISP","classes","tac",0.015212036302682,5.04887613233721
