"test","sample_type","river","atx","p_value","F_stat"
"PERMANOVA","NT","SFE-M","detected",0.011,3.80645186839416
"PERMDISP","NT","SFE-M","detected",0.445,0.603316681740796
"PERMANOVA","TAC","SFE-M","detected",0.016,4.87822475580553
"PERMDISP","TAC","SFE-M","detected",0.336,0.978108200132776
"PERMANOVA","TM","SFE-M","detected",0.001,6.11155819011028
"PERMDISP","TM","SFE-M","detected",0.271,1.53522928953136
"PERMANOVA","NT","RUS","detected",0.611,0.766065977288105
"PERMDISP","NT","RUS","detected",0.863,0.03264249950913
"PERMANOVA","TAC","RUS","detected",0.06,2.86548299310894
"PERMDISP","TAC","RUS","detected",0.327,0.950956601425649
"PERMANOVA","NT","SFE-M","atx_group",0.023,2.00314963990991
"PERMDISP","NT","SFE-M","atx_group",0.263,1.46407446880436
"PERMANOVA","TAC","SFE-M","atx_group",0.021,2.48376168828957
"PERMDISP","TAC","SFE-M","atx_group",0.167,2.07358459373295
"PERMANOVA","TM","SFE-M","atx_group",0.004,3.15937527496966
"PERMDISP","TM","SFE-M","atx_group",0.113,2.38839250691086
"PERMANOVA","NT","RUS","atx_group",0.162,1.43622606690633
"PERMDISP","NT","RUS","atx_group",0.018,4.87085299623631
"PERMANOVA","TAC","RUS","atx_group",0.047,2.02834907279028
"PERMDISP","TAC","RUS","atx_group",0.371,1.2103115247906
"PERMANOVA","NT","SFE-M","atx_group_no_nondetect",0.231,1.23166367290366
"PERMDISP","NT","SFE-M","atx_group_no_nondetect",0.186,1.97437233901067
"PERMANOVA","TAC","SFE-M","atx_group_no_nondetect",0.247,1.52589993511208
"PERMDISP","TAC","SFE-M","atx_group_no_nondetect",0.294,1.68653127298981
"PERMANOVA","TM","SFE-M","atx_group_no_nondetect",0.115,1.96584275135684
"PERMDISP","TM","SFE-M","atx_group_no_nondetect",0.588,0.424427511139393
"PERMANOVA","NT","RUS","atx_group_no_nondetect",0.125,2.11265117079165
"PERMDISP","NT","RUS","atx_group_no_nondetect",0.015,17.5473392663307
"PERMANOVA","TAC","RUS","atx_group_no_nondetect",0.178,1.3500658985378
"PERMDISP","TAC","RUS","atx_group_no_nondetect",0.043,5.25375762938796
