"test","sample_type","river","atx","p_value","F_stat"
"PERMANOVA","NT","SFE-M","detected",0.003,4.72569245982231
"PERMDISP","NT","SFE-M","detected",0.076,3.29361951037412
"PERMANOVA","TM","SFE-M","detected",0.001,2.7731164081961
"PERMDISP","TM","SFE-M","detected",0.347,1.04391452961135
"PERMANOVA","TAC","SFE-M","detected",0.019,2.50291010016604
"PERMDISP","TAC","SFE-M","detected",0.476,0.551581325489221
"PERMANOVA","NT","RUS","detected",0.475,0.93060951211144
"PERMDISP","NT","RUS","detected",0.86,0.0220075965788279
"PERMANOVA","TAC","RUS","detected",0.124,1.40328421106669
"PERMDISP","TAC","RUS","detected",0.315,1.01359656394309
"PERMANOVA","NT","SFE-M","atx_group",0.004,2.43937428210236
"PERMDISP","NT","SFE-M","atx_group",0.002,7.10590741911803
"PERMANOVA","TM","SFE-M","atx_group",0.036,1.50381379896318
"PERMDISP","TM","SFE-M","atx_group",0.137,2.18399813365259
"PERMANOVA","TAC","SFE-M","atx_group",0.025,1.88635108468533
"PERMDISP","TAC","SFE-M","atx_group",0.08,3.45776523356571
"PERMANOVA","NT","RUS","atx_group",0.605,0.767268698404538
"PERMDISP","NT","RUS","atx_group",0.239,2.09590604909644
"PERMANOVA","TAC","RUS","atx_group",0.286,1.10164629392211
"PERMDISP","TAC","RUS","atx_group",0.009,6.99296599979579
"PERMANOVA","NT","SFE-M","atx_group_no_nondetects",0.148,1.20522143934655
"PERMDISP","NT","SFE-M","atx_group_no_nondetects",0.004,9.54505982773297
"PERMANOVA","TM","SFE-M","atx_group_no_nondetects",0.35,1.06161746547076
"PERMDISP","TM","SFE-M","atx_group_no_nondetects",0.14,2.49139989908847
"PERMANOVA","TAC","SFE-M","atx_group_no_nondetects",0.042,1.79321138746345
"PERMDISP","TAC","SFE-M","atx_group_no_nondetects",0.127,3.15112270253775
"PERMANOVA","NT","RUS","atx_group_no_nondetects",0.4,0.697155753050998
"PERMDISP","NT","RUS","atx_group_no_nondetects",0.4,2.62214764048884
"PERMANOVA","TAC","RUS","atx_group_no_nondetects",0.366666666666667,1.09651691128397
"PERMDISP","TAC","RUS","atx_group_no_nondetects",0.283333333333333,2.44445390321762
