"test","sample_type","river","atx","p_value","F_stat"
"PERMANOVA","NT","SFE-M","detected",0.023,4.15568608746172
"PERMDISP","NT","SFE-M","detected",0.21,1.34903530070261
"PERMANOVA","TM","SFE-M","detected",0.605,0.452687159713054
"PERMDISP","TM","SFE-M","detected",0.784,0.0996354077427377
"PERMANOVA","TAC","SFE-M","detected",0.4,0.990499189406725
"PERMDISP","TAC","SFE-M","detected",0.39,0.641481679604537
"PERMANOVA","NT","RUS","detected",0.988,0.49758953051331
"PERMDISP","NT","RUS","detected",0.857,0.0440628765020451
"PERMANOVA","TAC","RUS","detected",0.234,1.20954846403094
"PERMDISP","TAC","RUS","detected",0.59,0.506235573962338
"PERMANOVA","NT","SFE-M","atx_group",0.034,2.30412810165083
"PERMDISP","NT","SFE-M","atx_group",0.546,0.680978032618635
"PERMANOVA","TM","SFE-M","atx_group",0.901,0.272433669082599
"PERMDISP","TM","SFE-M","atx_group",0.616,0.552300356650123
"PERMANOVA","TAC","SFE-M","atx_group",0.105,2.00587740404688
"PERMDISP","TAC","SFE-M","atx_group",0.31,1.34569875767667
"PERMANOVA","NT","RUS","atx_group",0.968,0.360441911504903
"PERMDISP","NT","RUS","atx_group",0.721,0.436363693837199
"PERMANOVA","TAC","RUS","atx_group",0.451,1.01619633215712
"PERMDISP","TAC","RUS","atx_group",0.539,0.62916752611007
"PERMANOVA","NT","SFE-M","atx_group_nonondetects",0.662,0.511928677059727
"PERMDISP","NT","SFE-M","atx_group_nonondetects",0.69,0.253007922665402
"PERMANOVA","TM","SFE-M","atx_group_nonondetects",0.909,0.122159885379509
"PERMDISP","TM","SFE-M","atx_group_nonondetects",0.295,1.29280912087072
"PERMANOVA","TAC","SFE-M","atx_group_nonondetects",0.038,3.64141815808487
"PERMDISP","TAC","SFE-M","atx_group_nonondetects",0.723,0.299245406122666
"PERMANOVA","NT","RUS","atx_group_nonondetects",0.733333333333333,0.293253200359854
"PERMDISP","NT","RUS","atx_group_nonondetects",0.333333333333333,1.13875154322398
"PERMANOVA","TAC","RUS","atx_group_nonondetects",0.2,2.24936402127548
"PERMDISP","TAC","RUS","atx_group_nonondetects",0.8,0.0988268190519888
