"field_date","site","site_reach","sample_type","ATX_all_ug_org_mat","log_ATX_all_ug_org_mat","atx_detected","atx_group"
"2022-06-29","SFE-M","SFE-M-1S","TM",0,-3.91202300542815,"n","none"
"2022-06-29","SFE-M","SFE-M-3","TM",0,-3.91202300542815,"n","none"
"2022-06-29","SFE-M","SFE-M-4","TM",0,-3.91202300542815,"n","none"
"2022-07-12","SAL","SAL-1S","TM",0,-3.91202300542815,"n","none"
"2022-07-12","SAL","SAL-2","TM",0,-3.91202300542815,"n","none"
"2022-07-12","SAL","SAL-3","TM",0,-3.91202300542815,"n","none"
"2022-07-14","SFE-M","SFE-M-1S","TM",0,-3.91202300542815,"n","none"
"2022-07-14","SFE-M","SFE-M-1S","TAC",2.0375685,0.711757185199655,"y","medium"
"2022-07-14","SFE-M","SFE-M-3","TM",0,-3.91202300542815,"n","none"
"2022-07-14","SFE-M","SFE-M-3","TAC",1.9259609,0.655425012027599,"y","low"
"2022-07-14","SFE-M","SFE-M-4","TAC",0.6183889,-0.480637731417238,"y","low"
"2022-07-20","RUS","RUS-1S","TAC",0,-3.91202300542815,"n","none"
"2022-07-20","RUS","RUS-2","TAC",0,-3.91202300542815,"n","none"
"2022-07-20","RUS","RUS-3","TAC",0,-3.91202300542815,"n","none"
"2022-07-26","SAL","SAL-1S","TM",0.1131544,-2.17900202122471,"y","low"
"2022-07-26","SAL","SAL-2","TM",0,-3.91202300542815,"n","none"
"2022-07-26","SAL","SAL-3","TM",0,-3.91202300542815,"n","none"
"2022-07-28","SFE-M","SFE-M-1S","TM",0.6402563,-0.445886714044627,"y","low"
"2022-07-28","SFE-M","SFE-M-1S","TAC",10.9846586,2.39649962660988,"y","high"
"2022-07-28","SFE-M","SFE-M-3","TM",0,-3.91202300542815,"n","none"
"2022-07-28","SFE-M","SFE-M-3","TAC",9.6272722,2.26459992504034,"y","high"
"2022-07-28","SFE-M","SFE-M-4","TAC",11.1391016,2.41046158492748,"y","high"
"2022-08-02","RUS","RUS-1S","TAC",0.2965879,-1.2154116457949,"y","low"
"2022-08-02","RUS","RUS-2","TAC",0,-3.91202300542815,"n","none"
"2022-08-02","RUS","RUS-3","TAC",0,-3.91202300542815,"n","none"
"2022-08-10","SFE-M","SFE-M-1S","TM",6.0798106,1.80497354417707,"y","high"
"2022-08-10","SFE-M","SFE-M-1S","TAC",155.2359736,5.04494636955007,"y","high"
"2022-08-10","SFE-M","SFE-M-3","TM",0.7992448,-0.224087997162819,"y","low"
"2022-08-10","SFE-M","SFE-M-3","TAC",4.4073276,1.48326851938023,"y","medium"
"2022-08-10","SFE-M","SFE-M-4","TM",237.0378103,5.46821966554124,"y","high"
"2022-08-10","SFE-M","SFE-M-4","TAC",95.8824819,4.56312329471301,"y","high"
"2022-08-17","RUS","RUS-1S","TAC",0,-3.91202300542815,"n","none"
"2022-08-17","RUS","RUS-2","TAC",0,-3.91202300542815,"n","none"
"2022-08-17","RUS","RUS-3","TAC",0.7170717,-0.332579443382183,"y","low"
"2022-08-23","SFE-M","SFE-M-1S","TM",1.4883029,0.39763647752296,"y","low"
"2022-08-23","SFE-M","SFE-M-3","TM",1.1992479,0.181694610304069,"y","low"
"2022-08-23","SFE-M","SFE-M-3","TAC",1.6982777,0.529614619864541,"y","low"
"2022-09-01","RUS","RUS-1S","TAC",1.291464,0.255776458600795,"y","low"
"2022-09-01","RUS","RUS-2","TAC",0.7018993,-0.35396533253932,"y","low"
"2022-09-01","RUS","RUS-3","TAC",5.3172086,1.67094846640261,"y","medium"
"2022-09-06","SFE-M","SFE-M-1S","TM",3.2071741,1.16539020673361,"y","medium"
"2022-09-06","SFE-M","SFE-M-1S","TAC",0,-3.91202300542815,"n","none"
"2022-09-06","SFE-M","SFE-M-3","TM",0.5189985,-0.655854285993835,"y","low"
"2022-09-15","RUS","RUS-1S","TAC",4.1992188,1.43489850798918,"y","medium"
"2022-09-15","RUS","RUS-2","TAC",0,-3.91202300542815,"n","none"
"2022-09-15","RUS","RUS-3","TAC",2.1329935,0.757526392133422,"y","medium"
"2022-09-17","SFE-M","SFE-M-1S","TM",3.2816982,1.18836103231536,"y","medium"
"2022-09-17","SFE-M","SFE-M-1S","TAC",0,-3.91202300542815,"n","none"
"2022-09-17","SFE-M","SFE-M-3","TM",0.628766,-0.463996110575862,"y","low"
"2022-09-22","SAL","SAL-3","TAC",0,-3.91202300542815,"n","none"
