"field_date","site_reach","site","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATXa_ug_g","TAC_ATXa_ug_g","TM_dhATXa_ug_g","TAC_dhATXa_ug_g","TM_HTXa_ug_g","TAC_HTXa_ug_g","TM_ATX_all_ug_g","TAC_ATX_all_ug_g","TM_Chla_ug_g","TAC_Chla_ug_g","TM_Pheo_ug_g","TAC_Pheo_ug_g","TM_percent_organic_matter","TAC_percent_organic_matter","TM_ATX_all_ug_chla_ug","TAC_ATX_all_ug_chla_ug","TM_ATX_all_ug_orgmat_g","TAC_ATX_all_ug_orgmat_g"
"2022-06-24","RUS-1S","RUS",NA,24.82,9.052,NA,5.026,0.016,0.00253,8.07,17.82,2.994,7.5,14.45,0.11,11.17,1.23,16.45,11.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-27","SAL-1S","SAL",NA,19.81,9.442,NA,7.768,0.0145,0.01313,7.72,6.516,2.913,0.52,1.65,0.02,1.02,0.32,1.88,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-27","SAL-3","SAL",NA,20.49,9.492,NA,7.795,0.031,0.00797,8.11,8.974,2.688,0.9,3.44,0.06,2.24,0.65,3.05,16.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-06-29","SFE-M-1S","SFE-M",NA,20.33,8.374,NA,5.8015,0.011,0.00731,8.9,17.54,3.287,5.39,9.76,0.07,8.56,0.88,9.76,9.75,0,NA,0,NA,0,NA,0,NA,6407.82431441923,NA,143.752054584299,NA,18.3,NA,0,NA,0,NA
"2022-06-29","SFE-M-3","SFE-M",NA,23.6,9.793,NA,5.812,0.011,0.00788,8.88,14.29,1.194,5.67,10.87,0.005,9.12,0.91,9.73,17.5,0,NA,0,NA,0,NA,0,NA,7984.72078972217,NA,93.8230409841889,NA,18.3,NA,0,NA,0,NA
"2022-06-29","SFE-M-4","SFE-M",NA,25.43,10.132,NA,7.008,0.013,0.005,9.14,19.32,2.451,5.78,10.8,0.1,9.23,0.93,9.88,16.51,0,NA,0,NA,0,NA,0,NA,4894.78335918051,NA,30.0269388954029,NA,18.3,NA,0,NA,0,NA
"2022-07-06","RUS-1S","RUS",NA,21.4,9.181,266.1,11.092,0.008,0.00637,8.07,24.45,3.858,5.6,10.2,0.09,8.17,0.97,12.4,11.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-07-06","RUS-2","RUS",NA,22.84,9.346,267.2,6.807,0.0095,0.0057,8.25,21.89,2.279,7.15,12.98,0.12,10.63,1.17,15.57,12.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-07-07","RUS-3","RUS",NA,23.76,11.759,267.1,9.202,0.012,0.006,8.4,23.3,2.893,7.15,12.93,0.13,10.61,1.13,14.97,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-07-12","SAL-1S","SAL",NA,20.52,8.904,108.5,6.4415,0.026,0.01409,7.72,11.88,3.565,1.06,3.86,0.005,2.39,0.68,3.43,16.76,0,NA,0,NA,0,NA,0,NA,4926.0900162699,NA,96.3532590070105,NA,45.942,NA,0,NA,0,NA
"2022-07-12","SAL-2","SAL",NA,21.64,9.171,110.6,5.8,0.024,0.01026,8.35,7.347,0.7916,1.09,3.73,0.05,2.48,0.73,3.49,14.36,0,NA,0,NA,0,NA,0,NA,4582.28623740764,NA,138.070218114172,NA,48.8,NA,0,NA,0,NA
"2022-07-12","SAL-3","SAL",NA,22.59,9.087,113.3,6.9675,0.019,0.01374,8.11,10.72,2.31,1.11,3.64,0.05,2.46,0.74,3.58,13.34,0,NA,0,NA,0,NA,0,NA,6410.15787542345,NA,37.9092324765811,NA,75.83,NA,0,NA,0,NA
"2022-07-14","SFE-M-1S","SFE-M",NA,21.71,9.507,223.3,5.353,0.017,0.00463,8.9,16.17,0.7605,6.04,10.78,0.1,9.37,0.93,9.77,18.02,0,0.781,0,0,0,0,0,0.781,5753.53875355326,3234.07962958796,35.1976523205971,963.076998443193,76.19,38.33,0,0.0002415,0,2.0375685
"2022-07-14","SFE-M-3","SFE-M",NA,23.63,10.255,229.6,4.093,0.011,0.00516,8.88,11.9,0.5737,6.29,10.61,0.09,9.43,0.96,9.83,14.86,0,0.542,0,0.0693,0,0,0,0.6113,7984.72078972217,3517.8469892189,NA,1162.42473948808,57.47,31.74,0,0.0001738,0,1.9259609
"2022-07-14","SFE-M-4","SFE-M",NA,25.72,11.059,236.2,6.021,0.017,0.00447,9.14,18.16,0.7703,6.16,10.64,0.1,9.38,0.95,9.77,15.73,NA,0.228,NA,0,NA,0,NA,0.228,NA,2793.42850439403,NA,1126.91458205527,NA,36.87,NA,8.16e-05,NA,0.6183889
"2022-07-20","RUS-1S","RUS",NA,22.22,9.587,265.7,7.841,0.017,0.00625,8.07,19.15,2.066,6.92,12.31,0.11,10.43,1.16,15.15,12.63,NA,0,NA,0,NA,0,NA,0,NA,2963.28018265358,NA,411.743496902954,NA,26.61,NA,0,NA,0
"2022-07-20","RUS-2","RUS",NA,23.75,9.567,267.8,9.59,0.009,0.00411,8.25,21.59,2.118,6.84,12.14,0.11,10.37,1.17,15.08,13.04,NA,0,NA,0,NA,0,NA,0,NA,2984.96562184583,NA,528.685154188619,NA,36.83,NA,0,NA,0
"2022-07-20","RUS-3","RUS",NA,24.68,11.067,266.2,9.796,0.009,0.00245,8.4,19.84,2.171,6.84,12.19,0.13,10.37,1.18,14.77,14.1,NA,0,NA,0,NA,0,NA,0,NA,3299.08397733518,NA,400.976823586325,NA,37.71,NA,0,NA,0
"2022-07-26","SAL-1S","SAL",NA,21.41,8.59,121.2,7.264,0.011,0.00743,7.72,10.64,1.096,1.42,4.09,0.05,2.85,0.8,3.89,16.94,0,NA,0,NA,0.0683,NA,0.0683,NA,5046.58581450883,NA,170.198376743096,NA,60.36,NA,1.35e-05,NA,0.1131544,NA
"2022-07-26","SAL-2","SAL",NA,21.52,9.069,120.6,5.851,0.011,0.008085,8.35,9.362,1.025,1.41,3.72,0.03,2.82,0.81,4.24,12.33,0,NA,0,NA,0,NA,0,NA,3762.42361521675,NA,173.326779458521,NA,43.99,NA,0,NA,0,NA
"2022-07-26","SAL-3","SAL",NA,22.13,9.215,121.5,5.63,0.008,0.00792,8.11,12.95,0.5312,1.37,3.69,0.005,2.78,0.81,3.84,15.87,0,NA,0,NA,0,NA,0,NA,5239.13970595773,NA,220.122993239407,NA,66.93,NA,0,NA,0,NA
