"function_groups","sample_type","site","test","kruskal_test"
NA,NA,NA,NA,NA
"cobalamin_B12","NT","SFE-M","detected",0.454366113790636
"cobalamin_B12","NT","SFE-M","atx_groups",0.454366113790636
"nitrification","NT","SFE-M","detected",0.643417709802761
"nitrification","NT","SFE-M","atx_groups",0.625531324227351
"nitrogen_fixation","NT","SFE-M","detected",0.454366113790636
"nitrogen_fixation","NT","SFE-M","atx_groups",0.454366113790636
"phosphatase_transporters","NT","SFE-M","detected",0.454366113790636
"phosphatase_transporters","NT","SFE-M","atx_groups",0.454366113790636
"pyridoxal","NT","SFE-M","detected",0.454366113790636
"pyridoxal","NT","SFE-M","atx_groups",0.454366113790636
"thiamine","NT","SFE-M","detected",0.454366113790636
"thiamine","NT","SFE-M","atx_groups",0.454366113790636
"cobalamin_B12","NT","RUS","detected",0.445679641364611
"cobalamin_B12","NT","RUS","atx_groups",0.445679641364611
"nitrification","NT","RUS","detected",0.445679641364611
"nitrification","NT","RUS","atx_groups",0.445679641364611
"nitrogen_fixation","NT","RUS","detected",0.445679641364611
"nitrogen_fixation","NT","RUS","atx_groups",0.445679641364611
"phosphatase_transporters","NT","RUS","detected",0.445679641364611
"phosphatase_transporters","NT","RUS","atx_groups",0.445679641364611
"pyridoxal","NT","RUS","detected",0.445679641364611
"pyridoxal","NT","RUS","atx_groups",0.445679641364611
"thiamine","NT","RUS","detected",0.445679641364611
"thiamine","NT","RUS","atx_groups",0.445679641364611
"cobalamin_B12","TAC","SFE-M","detected",0.440493285065212
"cobalamin_B12","TAC","SFE-M","atx_groups",0.440493285065212
"nitrification","TAC","SFE-M","detected",0.440493285065212
"nitrification","TAC","SFE-M","atx_groups",0.440493285065212
"nitrogen_fixation","TAC","SFE-M","detected",0.440493285065212
"nitrogen_fixation","TAC","SFE-M","atx_groups",0.440493285065212
"phosphatase_transporters","TAC","SFE-M","detected",0.440493285065212
"phosphatase_transporters","TAC","SFE-M","atx_groups",0.440493285065212
"pyridoxal","TAC","SFE-M","detected",0.440493285065212
"pyridoxal","TAC","SFE-M","atx_groups",0.440493285065212
"thiamine","TAC","SFE-M","detected",0.440493285065212
"thiamine","TAC","SFE-M","atx_groups",0.440493285065212
"cobalamin_B12","TAC","RUS","detected",0.447811674319491
"cobalamin_B12","TAC","RUS","atx_groups",0.447811674319491
"nitrification","TAC","RUS","detected",0.447811674319491
"nitrification","TAC","RUS","atx_groups",0.447811674319491
"nitrogen_fixation","TAC","RUS","detected",0.447811674319491
"nitrogen_fixation","TAC","RUS","atx_groups",0.447811674319491
"phosphatase_transporters","TAC","RUS","detected",0.447811674319491
"phosphatase_transporters","TAC","RUS","atx_groups",0.447811674319491
"pyridoxal","TAC","RUS","detected",0.447811674319491
"pyridoxal","TAC","RUS","atx_groups",0.447811674319491
"thiamine","TAC","RUS","detected",0.447811674319491
"thiamine","TAC","RUS","atx_groups",0.447811674319491
"cobalamin_B12","TM","SFE-M","detected",0.451417211225725
"cobalamin_B12","TM","SFE-M","atx_groups",0.451417211225726
"nitrification","TM","SFE-M","detected",0.447811674319491
"nitrification","TM","SFE-M","atx_groups",0.447811674319491
"nitrogen_fixation","TM","SFE-M","detected",0.451417211225725
"nitrogen_fixation","TM","SFE-M","atx_groups",0.451417211225726
"phosphatase_transporters","TM","SFE-M","detected",0.451417211225725
"phosphatase_transporters","TM","SFE-M","atx_groups",0.451417211225726
"pyridoxal","TM","SFE-M","detected",0.451417211225725
"pyridoxal","TM","SFE-M","atx_groups",0.451417211225726
"thiamine","TM","SFE-M","detected",0.451417211225725
"thiamine","TM","SFE-M","atx_groups",0.451417211225726
