field_date,site,reach,sample_type,slide_rep,date_analyzed,method,microcoleus,non_algal,non_e_diatoms,e_diatoms,coccoids,green_algae,geitlerinema,leptolyngbya,tolypothrix,nostoc,anabaena,calothrix,chroococcus_toxin_producing_coccoid,unknown,oscillatoria,scytonema,gloeotrichia,cylindrospermum
7/10/2023,SFE-M,2,TM,1,3/11/2024,preserved,61,12,8,2,1,15,1,,,,,,,,,,,
,,,,2,,,70,15,9,1,1,3,1,,,,,,,,,,,
,,,,3,,,68.9,20,7,1,1,1,1,,,,,,,0.1,,,,
7/24/2023,SFE-M,2,TM,1,3/12/2024,preserved,57,30,5,3,2,2,1,,,,,,,,,,,
,,,,2,,,48.9,40,4,3,1,1,2,,,,0.1,,,,,,,
,,,,3,,,41.9,45,4,4,1,3,1,,,,0.1,,,,,,,
7/31/2023,SFE-M,2,TM,1,3/18/2024,preserved,64,10,6,7,1,4,3,,,,5,,,,,,,
,,,,2,,,55,15,7,7,2,5,3,,,,6,,,,,,,
,,,,3,,,54,16,7,8,3,4,2,,,,6,,,,,,,
8/7/2023,SFE-M,2,TM,1,3/13/2024,preserved,31,25,9,16,3,4,6,,,,5,1,,,,,,
,,,,2,,,32.8,20,10,16,3,5,6,,,,7,0.1,0.1,,,,,
,,,,3,,,35,19,9,14,4,7,5,,,,7,,,,,,,
8/14/2023,SFE-M,2,TM,Final,8/25/2023,live,66.9,5,15,2,1,10,,,,,0.1,,,,,,,
8/22/2023,SFE-M,2,TM,Final,8/31/2023,live,80,5,3,2,3,2,1,,,,4,,,,,,,
8/28/2023,SFE-M,2,TM,Final,9/5/2023,live,92,3,1,1,1,2,,,,,,,,,,,,
9/4/2023,SFE-M,2,TM,Final,9/11/2023,live,90,5,3,0,1,1,,,,,,,,,,,,
9/12/2023,SFE-M,2,TM,Final,9/19/2023,live,83.8,5,2,1,1,7,0.1,,,,0.1,,,,,,,
9/18/2023,SFE-M,2,TM,Final,9/21/2023,live,77,15,2,1,2,3,,,,,,,,,,,,
9/24/2023,SFE-M,2,TM,Final,9/28/2023,live,78.7,7,8,0.1,1,5,,,,,0.1,,,0.1,,,,
