vial_ID,site_reach,site,sample_type,field_date,material,triplicate,fake_target,container
1,SFE-M-4,SFE-M,NT,6/29/2022,filter,n,n,Powerbead_Tube
2,RUS-3,RUS,NT,7/7/2022,filter,n,n,Powerbead_Tube
3,SFE-M-4,SFE-M,TM,6/29/2022,mat,n,n,Powerbead_Tube
4,SAL-3,SAL,blank,6/27/2022,filter,n,n,Powerbead_Tube
5,SFE-M-3,SFE-M,TM,6/29/2022,mat,n,n,Powerbead_Tube
6,SAL-1S,SAL,TM,6/27/2022,mat,n,y,Powerbead_Tube
7,SFE-M-1S,SFE-M,TM,6/29/2022,mat,n,n,Powerbead_Tube
8,RUS-1S,RUS,NT,6/24/2022,filter,n,n,Powerbead_Tube
9,RUS-1S,RUS,NT,7/6/2022,filter,n,n,Powerbead_Tube
10,SAL-3,SAL,NT,6/27/2022,filter,n,n,Powerbead_Tube
11,RUS-3,RUS,TM,7/7/2022,mat,n,y,Powerbead_Tube
12,SAL-1S,SAL,NT,6/27/2022,filter,n,n,Powerbead_Tube
13,RUS-1S,RUS,TM,7/6/2022,mat,n,y,Powerbead_Tube
14,SFE-M-3,SFE-M,NT,6/29/2022,filter,n,n,Powerbead_Tube
15,SFE-M-1S,SFE-M,NT,6/29/2022,filter,n,n,Powerbead_Tube
16,RUS-2,RUS,TM,7/6/2022,mat,n,y,Powerbead_Tube
18,RUS-2,RUS,NT,7/6/2022,filter,y,n,Powerbead_Tube
19,SAL-2,SAL,blank,7/12/2022,filter,n,n,Powerbead_Tube
20,SFE-M-3,SFE-M,TM,7/14/2022,mat,n,n,Powerbead_Tube
21,RUS-3,RUS,blank,7/6/2022,filter,n,n,Powerbead_Tube
22,SAL-1S,SAL,TM,7/12/2022,mat,y,n,Powerbead_Tube
23,SFE-M-4,SFE-M,TAC,7/14/2022,mat,n,n,Powerbead_Tube
24,RUS-2,RUS,NT,7/6/2022,filter,y,n,Powerbead_Tube
25,RUS-2,RUS,TAC,7/20/2022,mat,n,n,Powerbead_Tube
26,SAL-1S,SAL,NT,7/12/2022,filter,n,n,Powerbead_Tube
27,SFE-M-4,SFE-M,TM,7/14/2022,mat,n,maybe,Powerbead_Tube
28,RUS-2,RUS,NT,7/6/2022,filter,y,n,Powerbead_Tube
29,SAL-3,SAL,TM,7/12/2022,mat,n,n,Powerbead_Tube
30,SAL-1S,SAL,TM,7/12/2022,mat,y,n,Powerbead_Tube
31,SAL-2,SAL,TM,7/12/2022,mat,n,n,Powerbead_Tube
32,SFE-M-4,SFE-M,NT,7/14/2022,filter,n,n,Powerbead_Tube
33,SAL-1S,SAL,TM,7/12/2022,mat,y,n,Powerbead_Tube
34,SAL-3,SAL,NT,7/12/2022,filter,n,n,Powerbead_Tube
35,SAL-2,SAL,NT,7/12/2022,filter,n,n,Powerbead_Tube
36,RUS-3,RUS,TAC,7/20/2022,mat,n,n,Powerbead_Tube
37,SAL-1S,SAL,NT,7/26/2022,filter,n,n,Powerbead_Tube
38,RUS-1S,RUS,TAC,7/20/2022,mat,n,n,Powerbead_Tube
39,SFE-M-3,SFE-M,NT,7/14/2022,filter,n,n,Powerbead_Tube
40,SAL-2,SAL,TM,7/26/2022,mat,n,n,Powerbead_Tube
41,SAL-3,SAL,NT,7/26/2022,filter,n,n,Powerbead_Tube
42,SFE-M-1S,SFE-M,TAC,7/14/2022,mat,n,n,Powerbead_Tube
43,SFE-M-3,SFE-M,TAC,7/14/2022,mat,n,n,Powerbead_Tube
44,RUS-3,RUS,TM,7/20/2022,mat,n,y,Powerbead_Tube
45,RUS-2,RUS,NT,7/20/2022,filter,n,n,Powerbead_Tube
46,RUS-1S,RUS,NT,7/20/2022,filter,n,n,Powerbead_Tube
47,SFE-M-1S,SFE-M,TM,7/14/2022,mat,n,n,Powerbead_Tube
48,RUS-3,RUS,NT,7/20/2022,filter,n,n,Powerbead_Tube
49,SFE-M-1S,SFE-M,NT,7/14/2022,filter,n,n,Powerbead_Tube
50,SFE-M-1S,SFE-M,TM,7/28/2022,mat,y,n,Eppendorf_Tube
51,SAL-2,SAL,NT,7/26/2022,filter,y,n,Eppendorf_Tube
52,SFE-M-1S,SFE-M,TAC,7/28/2022,mat,n,n,Eppendorf_Tube
53,SAL-3,SAL,TM,7/26/2022,mat,n,n,Eppendorf_Tube
54,SAL-2,SAL,NT,7/26/2022,filter,y,n,Eppendorf_Tube
55,SAL-2,SAL,NT,7/26/2022,filter,y,n,Eppendorf_Tube
56,SAL-1S,SAL,TM,7/26/2022,mat,n,n,Eppendorf_Tube
57,SFE-M-1S,SFE-M,NT,7/28/2022,filter,n,n,Eppendorf_Tube
58,SFE-M-3,SFE-M,TAC,7/28/2022,mat,y,n,Eppendorf_Tube
59,SFE-M-4,SFE-M,NT,7/28/2022,filter,n,n,Eppendorf_Tube
