"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","ankistrodesmus","aphanothece","calothrix","chantransia","chroococcus","cladophora","closterium","coelastrum","cosmarium","desmodesmus_spines","epithemia","euglenoid","geitlerinema","gloeocystis","gloeotrichia","homoeothrix","lacunastrum","leptolyngbya","lyngbya","microcoleus","mougeotia","non_e_r_diatoms","nostoc","oedogonium","oocystis","oscillatoria","other_coccoids","pediastrum","phormidium_unknown","rhopalodia","rivularia","scenedesmus_no_spines","scytonema","spirogyra","stauridium","stigeoclonium","tetraedron","tolypothrix","ulothrix","unknown","unknown_green_algae","zygnema","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATX_all_ug_chla_ug","TM_ATX_all_ug_orgmat_g","TAC_ATX_all_ug_chla_ug","TAC_ATX_all_ug_orgmat_g"
"RUS-1S","RUS","2022-06-24","NT",0,0,0,0,0,0,13.3779264214047,0,0,0,0.501672240802675,5.85284280936455,0,0,0,0,0.0418060200668896,0,4.59866220735786,0,0,3.34448160535117,28.0100334448161,0,10.0334448160535,0,0,3.76254180602007,0,0,0,0,0.125418060200669,0,22.1571906354515,0,8.19397993311037,0,0,0,0,0,0,NA,24.82,9.052,NA,5.026,0.016,0.00253,8.07,17.82,2.994,7.5,14.45,0.11,11.17,1.23,16.45,11.21,NA,NA,NA,NA
"RUS-1S","RUS","2022-07-06","NT",0,0,0,0,0,0,24.8550724637681,0,0,0,0,13.768115942029,0,0.36231884057971,0.036231884057971,0,0,0,5.79710144927536,0.036231884057971,0,5.43478260869565,25,0,10.8695652173913,0,0,1.08695652173913,0,0,0,0,0.072463768115942,0,11.5942028985507,0,1.08695652173913,0,0,0,0,0,0,NA,21.4,9.181,266.1,11.092,0.008,0.00637,8.07,24.45,3.858,5.6,10.2,0.09,8.17,0.97,12.4,11.67,NA,NA,NA,NA
"RUS-1S","RUS","2022-07-20","NT",6.2962962962963,0,0,0,0,0,9.25925925925926,0,0,0,0.740740740740741,12.5925925925926,0,2.59259259259259,0,0,0.0740740740740741,0,1.85185185185185,0,0.037037037037037,3.7037037037037,16.6666666666667,0,9.25925925925926,0,0,2.96296296296296,0,0,5.18518518518519,0,0.740740740740741,0,24.7037037037037,0,3.33333333333333,0,0,0,0,0,0,NA,22.22,9.587,265.7,7.841,0.017,0.00625,8.07,19.15,2.066,6.92,12.31,0.11,10.43,1.16,15.15,12.63,NA,NA,0,0
"RUS-1S","RUS","2022-08-02","NT",0.32520325203252,0,0,0,0,0.5420054200542,0,0,0,0,0.29810298102981,10.2981029810298,0,1.6260162601626,0,0,0.02710027100271,0,1.6260162601626,0.32520325203252,0,3.2520325203252,13.550135501355,0,7.31707317073171,0,0,1.3550135501355,0,0,4.6070460704607,0,0,0,52.1138211382114,0,2.73712737127371,0,0,0,0,0,0,8.07,21.8,8.493,251.5,6.961,0.009,0.00484,8.07,24.76,2.299,6.48,11.66,0.1,9.96,1.16,14.76,12,NA,NA,3.09e-05,0.2965879
"RUS-1S","RUS","2022-08-17","NT",2.45231607629428,0,0,0,0,1.11716621253406,2.99727520435967,0,0,0,0.0272479564032698,6.26702997275204,0,1.63487738419619,0,0,1.93460490463215,0,3.54223433242507,0.0817438692098093,0,8.71934604904632,20.9536784741144,0,13.6239782016349,0,0,1.63487738419619,0,0,2.72479564032698,0,0.0544959128065395,0,28.4196185286104,0,3.81471389645777,0,0,0,0,0,0,8.22,22.7,8.052,261.1,6.912,0.016,0.03339,8.22,23.23,2.429,6.55,11.43,0.13,10.01,1.14,14.42,14.87,NA,NA,0,0
"RUS-1S","RUS","2022-09-01","NT",7.73809523809524,0,0,0,0,0.892857142857143,0,0,0,0,0.0297619047619048,9.22619047619048,0,2.38095238095238,0,0,0,0,2.08333333333333,0.625,0.0595238095238095,6.8452380952381,13.6904761904762,0,9.22619047619048,0,0.0892857142857143,1.19047619047619,0,0.357142857142857,3.27380952380952,0,0.0297619047619048,0,42.2619047619048,0,0,0,0,0,0,0,0,8.03,20.53,8.643,235.3,8.68,0.009,0.00842,8.03,18.58,1.889,6.41,11.25,0.08,9.92,1.13,14.39,15.91,NA,NA,0.0001988,1.291464
"RUS-1S","RUS","2022-09-15","NT",9.7629009762901,0,0.464900046490005,0,0.116225011622501,0,23.3147373314737,0,0,0,0.185960018596002,9.9953509995351,0,2.78940027894003,0.0232450023245002,0,0,0,0.255695025569503,6.50860065086006,0.0464900046490005,3.48675034867503,8.83310088331009,0,0.464900046490005,0.162715016271502,1.16225011622501,3.02185030218503,0,0.0232450023245002,2.55695025569503,0,0,0,26.0111576011158,0,0.813575081357508,0,0,0,0,0,0,7.98,18.757,8.853,NA,10.95,0.011,0.00783,7.98,20.66,1.924,6.25,10.82,0.12,9.8,1.14,14.1,15.5,NA,NA,0.0003586,4.1992188
"RUS-2","RUS","2022-07-06","NT",0.0355871886120996,0,0,0,0,0,0,0,0,0,0,8.54092526690392,0,1.42348754448399,0.0355871886120996,0,0.0355871886120996,0,0.711743772241993,0,0,8.89679715302491,12.4555160142349,0,7.11743772241993,0,0,1.06761565836299,0,0,0,0,0.747330960854093,0,58.932384341637,0,0,0,0,0,0,0,0,NA,22.84,9.346,267.2,6.807,0.0095,0.0057,8.25,21.89,2.279,7.15,12.98,0.12,10.63,1.17,15.57,12.62,NA,NA,NA,NA
"RUS-2","RUS","2022-07-20","NT",0,0.0268096514745308,0,0,0,0,5.36193029490617,0,0,0,0.0268096514745308,7.23860589812332,0,1.34048257372654,0,0,1.34048257372654,0,1.87667560321716,0.0268096514745308,0,2.68096514745308,9.6514745308311,0,8.57908847184987,0,0,1.07238605898123,0,0,1.87667560321716,0,0.0536193029490617,0,54.8257372654156,0,4.02144772117962,0,0,0,0,0,0,NA,23.75,9.567,267.8,9.59,0.009,0.00411,8.25,21.59,2.118,6.84,12.14,0.11,10.37,1.17,15.08,13.04,NA,NA,0,0
"RUS-2","RUS","2022-08-02","NT",1.11731843575419,0,0,0,0,0,1.67597765363128,0,0,0,0.474860335195531,8.65921787709497,0,0.837988826815642,0,0,0.0558659217877095,0,4.46927374301676,0.837988826815642,0.0279329608938548,5.8659217877095,10.6145251396648,0,13.1284916201117,0,0,1.67597765363128,0,0,0.837988826815642,0,0.391061452513967,0,31.731843575419,0,17.5977653631285,0,0,0,0,0,0,8.25,23.41,9.734,255.9,9.735,0.01,0.01246,8.25,23.05,2.26,6.33,11.35,0.1,9.75,1.15,14.62,9.17,NA,NA,0,0
