field_date,site,reach,sample_type,date_analyzed,method,slide_rep,non_algal,non_e_r_diatoms,other_coccoids,aphanothece,chroococcus,epithemia,rhopalodia,nostoc,mougeotia,scenedesmus_no_spines,desmodesmus_spines,ankistrodesmus,lacunastrum,pediastrum,anabaena_and_cylindrospermum,geitlerinema,spirogyra,cladophora,leptolyngbya,homoeothrix,microcoleus,stigeoclonium,oedogonium,lyngbya,oscillatoria,chantransia,oocystis,gloeocystis,euglenoid,phormidium_unknown
7/6/2022,RUS,2,NT,1/25/2024,preserved,1,7,15,1,,,12,,,10,1,,,,,0.1,,48.8,,,,,,5,,,,,0.1,,
7/6/2022,RUS,2,NT,1/25/2024,preserved,2,5,10,1,,,6,,,7,0.1,,,,,,2,63.9,,,,,,5,,,,,,,
7/6/2022,RUS,2,NT,1/25/2024,preserved,3,7,10,1,,,6,,,8,1,,,,,,2,52.9,,2,0.1,,,10,,,,,,,
7/20/2022,RUS,2,NT,1/26/2024,preserved,1,5,10,1,,,7,3,,10,0.1,,,,,,1,49.8,,1,,,,12,0.1,,,,,,
7/20/2022,RUS,2,NT,1/26/2024,preserved,2,8,7,1,,,5,,,,0.1,0.1,0.1,,,,2,63.7,,3,,,,10,,,,,,,
7/20/2022,RUS,2,NT,1/26/2024,preserved,3,7,7,1,,,5,4,,,,,,,,,2,59,,,5,,,10,,,,,,,
7/20/2022,RUS,2,NT,1/26/2024,preserved,4,7,12,1,,,10,,,,,,,,,,,32,20,3,,,15,,,,,,,,
8/2/2022,RUS,2,NT,1/30/2024,preserved,1,7,5,1,,,7,,,6,,1,,,,1,2,40.8,,4,0.1,0.1,15,10,,,,,,,
8/2/2022,RUS,2,NT,1/30/2024,preserved,2,10,10,2,,,7,,,3,0.1,,,,,,,32.9,3,4,,,15,12,1,,,,,,
8/2/2022,RUS,2,NT,1/30/2024,preserved,3,13,8,2,,,7,,,5,0.8,0.2,,,,1,1,22.9,3,3,0.1,,18,15,,,,,,,
8/2/2022,RUS,2,NT,1/30/2024,preserved,4,12,15,1,,,10,3,,7,0.5,0.5,,,,2,,17,,5,,,15,10,2,,,,,,
8/17/2022,RUS,2,NT,1/19/2024,preserved,1,15,5,2,,,10,5,,7,0.1,,,,,3,,51.8,,1,,,,,,,,,,0.1,
8/17/2022,RUS,2,NT,1/19/2024,preserved,2,14,9,3,,,6,3,,15,,,,,,,,45,,,,,5,,,,,,,,
8/17/2022,RUS,2,NT,1/19/2024,preserved,3,10,5,2,,,7,3,,,0.1,0.1,,,,2,1,48.7,,1,,,20,,0.1,,,,,,
9/1/2022,RUS,2,NT,2/19/2024,preserved,1,8,14.7,1,,,10,3,,9,0.1,,,,0.1,5,1,12,9,2,0.1,,12,13,,,,,,,
9/1/2022,RUS,2,NT,2/19/2024,preserved,2,10,20,1,,0.1,17,7,,10,0.1,,,,,9,1,22.2,,2,0.1,0.1,0.1,,0.1,0.1,,,,,0.1
9/1/2022,RUS,2,NT,2/19/2024,preserved,3,7,15,1,,,11,5,,5,,0.1,,,,7,,15.6,8,2,0.1,,6,17,0.1,0.1,,,,,
9/15/2022,RUS,2,NT,2/20/2024,preserved,1,10,13,3,0.1,,11,4,,6,0.5,0.5,,,,11,1,16.8,5,3,5,1,,5,4,0.1,,,,,
9/15/2022,RUS,2,NT,2/20/2024,preserved,2,13,15,2,,,12,4,,3,,,,,,9,1,28.9,5,,1,,,6,0.1,,,,,,
9/15/2022,RUS,2,NT,2/20/2024,preserved,3,10,18,2,,,7,6,,4,,,,,,11,1,13.9,8,3,1,,5,5,,,5,,,,0.1
