field_date,site,reach,sample_type,date_analyzed,method,slide_rep,non_algal,non_e_r_diatoms,other_coccoids,aphanothece,chroococcus,epithemia,rhopalodia,nostoc,mougeotia,scenedesmus_no_spines,desmodesmus_spines,tetraedron,ankistrodesmus,lacunastrum,anabaena_and_cylindrospermum,geitlerinema,spirogyra,cladophora,leptolyngbya,homoeothrix,microcoleus,stigeoclonium,oedogonium,lyngbya,oscillatoria,chantransia,oocystis,gloeocystis,closterium,euglenoid,phormidium_unknown
7/7/2022,RUS,3,NT,1/26/2024,preserved,1,10,25,1,,,10,,,15,2,,,,,0.1,3,23.9,7,,,,3,,,,,,,,,
7/7/2022,RUS,3,NT,1/26/2024,preserved,2,11,20,1,,,9,,,,1,,,,,,1,35,10,4,,,3,5,,,,,,,,
7/7/2022,RUS,3,NT,1/26/2024,preserved,3,15,18,1,,,10,,,,1,,,,,,1,45,,3,,,,6,,,,,,,,
7/7/2022,RUS,3,NT,1/26/2024,preserved,4,10,15,1,,,7,,,,,0.1,,,,,1,58.9,,3,,,,4,,,,,,,,
7/20/2022,RUS,3,NT,1/29/2024,preserved,1,10,25,1,,,1,,,,0.1,,,,,,1,55.8,,2,,1,,3,0.1,,,,,,,
7/20/2022,RUS,3,NT,1/29/2024,preserved,2,7,20,1,,,2,,,,0.1,,,,,,,63.8,,2,0.1,,,4,,,,,,,,
7/20/2022,RUS,3,NT,1/29/2024,preserved,3,10,19,1,,,1,,,,0.1,,0.1,,,,3,54.7,7,1,,,,3,0.1,,,,,,,
7/20/2022,RUS,3,NT,1/29/2024,preserved,4,15,20,2,,,3,,,,0.1,,,,,0.1,1,34.7,7,4,0.1,,,6,,,7,,,,,
8/2/2022,RUS,3,NT,1/31/2024,preserved,1,15,25,1,,,5,,,3,1,,,,,,,44.9,,2,,0.1,,3,,,,,,,,
8/2/2022,RUS,3,NT,1/31/2024,preserved,2,16,20,1,,,4,,,,,,,,,0.1,2,47.8,5,1,,,,3,0.1,,,,,,,
8/2/2022,RUS,3,NT,1/31/2024,preserved,3,18,22,1,,,3,,,5,,0.1,,,,0.1,1,48.8,,1,,,,,,,,,,,,
8/2/2022,RUS,3,NT,1/31/2024,preserved,4,20,15,1,,,3,,,,,,,,,,,59.9,,1,0.1,,,,,,,,,,,
8/17/2022,RUS,3,NT,2/2/2024,preserved,1,15,7,1,,,5,3,,6,0.1,0.1,,,,1,1,35.8,,2,,,10,13,,,,,,,,
8/17/2022,RUS,3,NT,2/2/2024,preserved,2,17,15,1,,,6,3,,,,0.1,,,,1,1,29.8,7,4,,,5,10,,,,,,,,0.1
8/17/2022,RUS,3,NT,2/2/2024,preserved,3,15,16,2,,,7,4,,6,0.1,,,,,1,3,35.6,,3,,0.1,7,,0.1,,,,,,,0.1
8/17/2022,RUS,3,NT,2/2/2024,preserved,4,16,17,1,,1,8,,,5,0.1,,,,0.1,2,1,34.6,,1,0.1,,13,,,0.1,,,,,,
9/1/2022,RUS,3,NT,2/12/2024,preserved,1,30,10,2,,0.1,4,4,,5,0.1,,,,,7,,19.5,,3,0.1,,,15,,,,,,0.1,,0.1
9/1/2022,RUS,3,NT,2/12/2024,preserved,2,15,7,2,,,7,1,,6,,,,,,5,1,39.8,,,0.2,,,16,,,,,,,,
9/1/2022,RUS,3,NT,2/12/2024,preserved,3,10,9,2,,,5,5,,4,,,,,,3,,45,,,,,,17,,,,,,,,
9/1/2022,RUS,3,NT,2/12/2024,preserved,4,12,10,2,,,5,3,,,,,,,,6,3,32.7,,,,0.1,4,20,,0.1,2,,,,,0.1
9/1/2022,RUS,3,NT,2/12/2024,preserved,5,18,15,3,,,4,3,,6,,,,,,8,,22.9,5,2,1,0.1,,12,,,,,,,,
9/15/2022,RUS,3,NT,1/23/2024,preserved,1,7,5,1,,,3,,,,,,,,,,,70.9,10,0.1,,3,,,,,,,,,,
9/15/2022,RUS,3,NT,1/23/2024,preserved,2,6,5,1,,,5,,,7,,,,,,,,62,10,,,,,,,,,,,,,4
9/15/2022,RUS,3,NT,1/23/2024,preserved,3,10,7,1,,,5,1,,,0.1,,,,,,1,55.6,15,1,,0.1,3,,0.1,,,,,,,0.1
