field_date,site,reach,sample_type,date_analyzed,method,slide_rep,non_algal,non_e_r_diatoms,other_coccoids,epithemia,nostoc,mougeotia,scenedesmus_no_spines,desmodesmus_spines,ankistrodesmus,lacunastrum,anabaena_and_cylindrospermum,geitlerinema,spirogyra,cladophora,leptolyngbya,homoeothrix,microcoleus,stigeoclonium,lyngbya,oedogonium,zygnema,oscillatoria,calothrix,coelastrum,oocystis,chroococcus,unknown_green_algae
6/27/2022,SAL,1S,NT,2/22/2024,preserved,1,91.9,3,2,0,,,,,,,,,,,1,2,,,,,,,,,,,0.1
6/27/2022,SAL,1S,NT,2/22/2024,preserved,2,86.6,5,3,0,,,,0.1,,,1,,,0.1,2,2,,0.1,,,,,,,,,0.1
6/27/2022,SAL,1S,NT,2/22/2024,preserved,3,91.8,5,2,0.1,,,,,,,,,,,1,0.1,,,,,,,,,,,
7/12/2022,SAL,1S,NT,1/4/2024,preserved,1,5,3,1,0.1,,,0.5,,,,,55.3,,,20,3,8,1,3,,,,0.1,,,,
7/12/2022,SAL,1S,NT,1/4/2024,preserved,2,25,3,1,,,,,,,,,15,,,2,,51,1,2,,,,,,,,
7/12/2022,SAL,1S,NT,1/4/2024,preserved,3,20,5,1,,,,,,,,,15,,,10,,45,1,3,,,,,,,,
7/26/2022,SAL,1S,NT,1/14/2024,preserved,1,7,2,1,,,,,,,,,1,,,,3,85.8,0.1,,,,,,,,,0.1
7/26/2022,SAL,1S,NT,1/14/2024,preserved,2,20,5,3,,,,0.1,,,,,,,,1,2,67.9,1,,,,,,,,,
7/26/2022,SAL,1S,NT,1/14/2024,preserved,3,10,2,0.1,,,,,0.1,,,,,,,,,87.8,,,,,,,,,,
7/26/2022,SAL,1S,NT,1/14/2024,preserved,4,25,1,1,,,,,,,,,,,,,,73,,,,,,,,,,
7/26/2022,SAL,1S,NT,1/14/2024,preserved,5,20,7,2,,,,,0.1,,,,1,,,,5,64.8,0.1,,,,,,,,,
9/22/2022,SAL,1S,NT,1/24/2024,preserved,1,15,7,4,5,,10,0.1,,,,1,2,38.7,,,0.1,,,,17,,,,0.1,,,
9/22/2022,SAL,1S,NT,1/24/2024,preserved,2,10,10,4,6,,13,,,0.1,,1,1,33.7,,,0.1,1,,,20,,,,,0.1,,
9/22/2022,SAL,1S,NT,1/24/2024,preserved,3,15,10,2,10,,10,,,,,,1,28.8,,,0.1,,,,20,3,0.1,,,,,
9/22/2022,SAL,1S,NT,1/24/2024,preserved,4,10,15,4,7,,10,,,,,,1,31.9,5,,,,,,15,,0.1,,,,1,
