field_date,site,reach,sample_type,date_analyzed,method,slide_rep,non_algal,non_e_r_diatoms,coccoid,epithemia,rhopalodia,nostoc,mougeotia,scenedesmus_no_spines,desmodesmus_spines,ankistrodesmus,lacunastrum,stauridium,anabaena_and_cylindrospermum,geitlerinema,spirogyra,cladophora,leptolyngbya,homoeothrix,microcoleus,stigeoclonium,oedegonium,lyngbya,chantransia,calothrix,gloeocystis,chroococcus_toxin_producing_coccoid,unknown_green_algae,phormidium_unknown
6/27/2022,SAL,3,NT,2/22/2024,preserved,1,98.8,0.1,0.1,,,,,,,,,,,,,,,1,,,,,,,,,,
,,,,,,2,98.8,1,0.1,,,,,,,,,,,,,,,0.1,,,,,,,,,,
,,,,,,3,97.6,2,0.1,,,,,,,,,,,,,,0.1,0.1,,0.1,,,,,,,,
7/13/2022,SAL,3,NT,2/23/2024,preserved,1,70.9,5,1,0,,,,0.1,,,,,,3,,,7,10,1,2,,,,,,,,
,,,,,,2,98.7,1,0.1,,,,,,,,,,,,,,0.1,0.1,,,,,,,,,,
,,,,,,3,92,3,1,,,,,,,,,,,,,,,2,,2,,,,,,,,
7/26/2022,SAL,3,NT,2/23/2024,preserved,1,94.8,3,0.1,,,,,,,,,,,,,,1,1,,0.1,,,,,,,,
,,,,,,2,84.8,5,0.1,,,,,,0.1,,,,,,,,3,4,1,2,,,,,,,,
,,,,,,3,88.7,4,0.1,0.1,,,,0.1,,,,,,,,,2,3,1,1,,,,,,,,
9/22/2022,SAL,3,NT,1/25/2024,preserved,1,7,20,1,10,5,,10,,,,,0.1,0.1,5,34.4,,3,1,0.1,,2,,1,,0.1,0.1,,0.1
,,,,,,2,10,7,1,5,5,,15,0.1,,,,,,2,53.7,,,1,,,,,,,0.1,0.1,,
,,,,,,3,20,15,1,4,5,,22,,,,,,0.1,2,25.8,,1,,1,,3,,,,,,0.1,
