field_date,site,reach,sample_type,date_analyzed,method,slide_rep,non_algal,non_e_r_diatoms,other_coccoids,epithemia,rhopalodia,nostoc,mougeotia,scenedesmus_no_spines,desmodesmus_spines,ankistrodesmus,lacunastrum,anabaena_and_cylindrospermum,geitlerinema,spirogyra,cladophora,leptolyngbya,homoeothrix,microcoleus,lyngbya,oedogonium,stigeoclonium,coelastrum,stauridium,cosmarium,tetraedron,nodularia,oscillatoria,scytonema,gloeocystis,oocystis,chroococcus,aphanothece,unknown,euglenoid
6/29/2022,SFE-M,3,NT,1/8/2024,preserved,1,5,15,2,2,,1,,,,,,,1,7,47,,,17,,3,,,,,,,,,,,,,,
6/29/2022,SFE-M,3,NT,1/8/2024,preserved,2,15,13,3,2,,1,2,0.5,0.5,,,,3,5,35,,,20,,,,,,,,,,,,,,,,
6/29/2022,SFE-M,3,NT,1/8/2024,preserved,3,20,13,1,3,,,,0.5,0.5,,,,3,5,24,,,30,,,,,,,,,,,,,,,,
6/29/2022,SFE-M,3,NT,1/8/2024,preserved,4,15,10,1,3,,0.1,,,,,,,1,3,41.8,,,25,0.1,,,,,,,,,,,,,,,
6/29/2022,SFE-M,3,NT,1/8/2024,preserved,5,10,11,3,2,,,,,,,,,2,3,46,,,23,,,,,,,,,,,,,,,,
7/14/2022,SFE-M,3,NT,1/9/2024,preserved,1,3,3,1,0.1,1,,,0.1,,,,5,1,75.7,10,,,0.1,,,,,,,,,,,,,,,,
7/14/2022,SFE-M,3,NT,1/9/2024,preserved,2,5,2,1,0.1,2,,0.1,0.5,0.1,,,7,3,79.1,,,,0.1,,,,,,,,,,,,,,,,
7/14/2022,SFE-M,3,NT,1/9/2024,preserved,3,7,10,1,0,,,,0.1,,,,3,,40,38.8,,,0.1,,,,,,,,,,,,,,,,
7/14/2022,SFE-M,3,NT,1/9/2024,preserved,4,5,2,1,0.1,,66.7,,,,,,0.1,,10,,,0.1,15,,,,,,,,,,,,,,,,
7/28/2022,SFE-M,3,NT,1/16/2024,preserved,1,12,7,3,10,2,,,1,1,,,20,4,3,7,5,,20.6,,2,,0.1,,2,,0.1,0.1,,,,0.1,,,
7/28/2022,SFE-M,3,NT,1/16/2024,preserved,2,10,7,4,18,2,1,,0.9,0.1,,,7,5,14.9,20,0.1,1,6,,3,,,,,,,,,,,,,,
7/28/2022,SFE-M,3,NT,1/16/2024,preserved,3,15,7,3,15,2,,,0.5,0.5,,,5,4,18.8,21,,1,5,,2,,,,,,,0.1,,,,,0.1,,
7/28/2022,SFE-M,3,NT,1/16/2024,preserved,4,35.8,7,2,13,3,,,0.2,0.8,,,7,2,5,5,3,3,5,,5,,,,,,,0.1,,,,,3,0.1,
8/10/2022,SFE-M,3,NT,1/18/2024,preserved,1,20,6,3,15,7,,,1,,0.1,,8,4,15.7,12,,,2,0.1,5,,,1,0.1,,,,,,,,,,
8/10/2022,SFE-M,3,NT,1/18/2024,preserved,2,15,7,3,10,6,,,0.5,,,,6,3,8,35.3,,,1,,5,0.1,,0.1,,,,,,,,,,,
8/10/2022,SFE-M,3,NT,1/18/2024,preserved,3,10,3,1,3,,,,,,,,3,,15,60,,,,,5,,,,,,,,,,,,,,
8/10/2022,SFE-M,3,NT,1/18/2024,preserved,4,15,4,2,12,5,,,0.1,,,,2,3,10,40.7,,,0.1,,6,,,,0.1,,,,,,,,,,
8/23/2022,SFE-M,3,NT,1/22/2024,preserved,1,15,7,2,9,1,,1,0.1,0.1,,,3,2,37.5,,,0.1,10,,12,,,0.1,,,,,,,,0.1,,,
8/23/2022,SFE-M,3,NT,1/22/2024,preserved,2,17,4,3,5,1,,,,0.1,,,2,1,47.6,,0.1,,11,,8,,,0.1,,0.1,,,,,,,,,
8/23/2022,SFE-M,3,NT,1/22/2024,preserved,3,20,4,3,3,1,,1,0.1,0.1,0.1,0.1,2,1,40.3,5,1,0.1,7,,10,0.1,,0.1,,,,,,,,,1,,
9/6/2022,SFE-M,3,NT,2/20/2024,preserved,1,12,10,3,7,,,,0.1,0.1,0.1,,1,2,27.4,20,2,1,0.1,,10,3,,1,,,,,,,,0.1,,0.1,
9/6/2022,SFE-M,3,NT,2/20/2024,preserved,2,8,15,3,7,,,,,0.1,0.1,,1,1,36.2,20,2,,0.1,,6,,0.1,0.1,0.1,,,,,,,0.1,,,0.1
9/6/2022,SFE-M,3,NT,2/20/2024,preserved,3,7,14,3,5,,,4,0.1,,,,1,1,26.6,21,2,,0.1,,15,,,,0.1,,,,,,,0.1,,,
9/17/2022,SFE-M,3,NT,1/24/2024,preserved,1,15,7,2,8,,,,0.1,,,,,10,22.4,16,,0.1,10,,7,,0.1,0.1,,,,,1,,0.1,1,0.1,,
9/17/2022,SFE-M,3,NT,1/24/2024,preserved,2,17,7,4,7,,0.1,,0.1,,,,,5,26.7,8,1,,12,,10,,,,,,,,,,,2,0.1,,
9/17/2022,SFE-M,3,NT,1/24/2024,preserved,3,15,7,4,5,1,,,0.1,,,,,2,37.8,10,,,15,,,,,,,,,,,,0.1,3,,,
9/17/2022,SFE-M,3,NT,1/24/2024,preserved,4,25,9,3,7,,,,,,,,,5,26.6,,,0.1,20,,,,,0.1,0.1,,,,,0.1,1,3,,,
