field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena_and_cylindrospermum,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,gloeotrichia,nodularia,calothrix,rivularia,nostoc,phormidium_unknown,unknown
7/20/2022,RUS,2,TAC,1,11/6/2023,preserved,20,6,7,6,1,54.9,0.1,,,5,,,,,,,
7/20/2022,RUS,2,TAC,2,11/6/2023,preserved,22,6,8,5,1,53.9,0.1,,,4,,,,,,,
7/20/2022,RUS,2,TAC,3,11/6/2023,preserved,25,7,6,5,1,51.9,0.1,,,4,,,,,,,
8/2/2022,RUS,2,TAC,1,11/8/2023,preserved,30,10,7,5,2,39,,,,2,,,,,5,,
8/2/2022,RUS,2,TAC,2,11/8/2023,preserved,28,12,5,5,1,47,,,,1,,,,,1,,
8/2/2022,RUS,2,TAC,3,11/8/2023,preserved,20,15,4,4,3,42,,,,2,,,,,10,,
8/17/2022,RUS,2,TAC,1,11/20/2023,preserved,29.8,25,10,8,2,18,0.1,0.1,,7,,,,,,,
8/17/2022,RUS,2,TAC,2,11/20/2023,preserved,25.8,28,15,9,2,12,0.1,0.1,,8,,,,,,,
8/17/2022,RUS,2,TAC,3,11/20/2023,preserved,35.9,22,10,9,5,11,,0.1,,7,,,,,,,
9/1/2022,RUS,2,TAC,1,11/20/2023,preserved,18,30,6,7,3,25,1,1,,4,,,,,,5,
9/1/2022,RUS,2,TAC,2,11/20/2023,preserved,29,22,7,7,5,20,,1,,3,,,,,,6,
9/1/2022,RUS,2,TAC,3,11/20/2023,preserved,33.9,25,5,4,3,25,0.1,1,,2,,,,,,1,
9/15/2022,RUS,2,TAC,1,11/30/2023,preserved,26,9,10,4,7,33.9,0.1,2,,5,,,,,,3,
9/15/2022,RUS,2,TAC,2,11/30/2023,preserved,25,12,15,3,6,25,,2,,7,,,,,,5,
9/15/2022,RUS,2,TAC,3,11/30/2023,preserved,22,15,12,3,8,29,,1,,5,,,,,,5,
