field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena_and_cylindrospermum,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,gloeotrichia,nodularia,calothrix,nostoc,unknown
7/14/2022,SFE-M,1S,TAC,1,11/7/2023,preserved,30,3,14,15,1,35.8,0.1,,,1,,0.1,,,
,,,,2,,,25,4,14,15,2,37.9,0.1,,,2,,,,,
,,,,3,,,23,4,15,16,5,34.8,,,,2,,0.1,,0.1,
7/28/2022,SFE-M,1S,TAC,1,11/7/2023,preserved,14,10,7,9,1,56.9,0.1,,,2,,,,,
,,,,2,,,25,10,13,20,1,27.9,0.1,,,3,,,,,
,,,,3,,,22,12,10,17,1,33.9,0.1,,,4,,,,,
8/10/2022,SFE-M,1S,TAC,1,11/9/2023,preserved,67,4,3,4,2,10,5,0,,5,,,,,
,,,,2,,,49,8,6,5,4,12,11,0,,5,,,,,
,,,,3,,,41.9,9,6,5,5,13,15,0.1,,5,,,,,
9/6/2022,SFE-M,1S,TAC,1,11/28/2023,preserved,13,12,18,10,7,32,,,,1,,,,7,
,,,,2,,,18,20,15,8,6,21.9,0.1,,,1,,,,10,
,,,,3,,,16,15,16,5,6,35,,,,1,,,,6,
9/17/2022,SFE-M,1S,TAC,1,11/30/2023,preserved,12,10,10,7,6,39,,1,4,3,,,5,3,
,,,,2,,,15,12,9,5,7,44,,2,,6,,,,,
,,,,3,,,18,10,12,6,5,39,,2,,5,2,,,1,
