field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena_and_cylindrospermum,non_algal,non_e_diatoms,e_diatoms,coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,gloeotrichia,nodularia,nostoc,lyngbya,unknown
7/14/2022,SFE-M,3,TAC,1,12/4/2023,preserved,30,12,8,8,7,30.9,0.1,,,3,,,1,,
,,,,2,,,24,10,13,15,9,22.7,1,,,5,,0.1,,0.1,0.1
,,,,3,,,25,10,15,14,10,19.8,1,,,5,,0.1,,0.1,
7/28/2022,SFE-M,3,TAC,1,11/8/2023,preserved,26,7,8,9,5,38.9,2,0.1,,3,,,1,,
,,,,2,,,22,11,9,10,5,36.9,2,0.1,,4,,,0,,
,,,,3,,,24,12,11,12,5,27.9,2,0.1,,6,,,0,,
8/10/2022,SFE-M,3,TAC,1,11/13/2023,preserved,41.9,10,15,14,8,9,0.1,,,2,,,,,
,,,,2,,,41,13,12,11,7,12,1,,,3,,,,,
,,,,3,,,53.9,10,10,10,6,8,0.1,,,2,,,,,
8/23/2022,SFE-M,3,TAC,1,11/20/2023,preserved,15,5,8,8,2,58.9,0.1,,,3,,,,,
,,,,2,,,15,7,9,10,3,52.8,0.1,,,3,,0.1,,,
,,,,3,,,16,9,8,9,7,46.9,0.1,,,4,,,,,
