field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena_and_cylindrospermum,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,gloeotrichia,nodularia,calothrix,rivularia,nostoc,leptolyngbya,unknown
7/14/2022,SFE-M,4,TAC,1,11/6/2023,preserved,16,5,9,10,3,53.9,0.1,,,3,,,,,,,
,,,,2,,,14,4,8,9,2,60.9,,,,2,,0.1,,,,,
,,,,3,,,17,4,6,7,2,61,,,,3,,,,,,,
7/28/2022,SFE-M,4,TAC,1,11/8/2023,preserved,45,7,13,14,3,14.9,1,0.1,,2,,,,,,,
,,,,2,,,30,9,9,10,7,29,1,0,,5,,,,,,,
,,,,3,,,29,8,9,10,8,30,1,,,5,,,,,,,
8/2/2022,SFE-M,4,TAC,1,11/9/2023,preserved,21,7,6,5,4,54,,,,3,,,,,,,
,,,,2,,,18,10,8,6,2,54,,,,2,,,,,,,
,,,,3,,,18,8,6,5,4,56,,,,3,,,,,,,
8/10/2022,SFE-M,4,TAC,1,11/13/2023,preserved,30,16,9,10,4,22,5,,,3,,,,,,1,
,,,,2,,,13,18,10,12,6,23,7,,,11,,,,,,,
,,,,3,,,21,13,8,7,8,28,6,,,9,,,,,,,
