field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena,non_algal,non_e_diatoms,e_diatoms,coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,gloeotrichia,cylindrospermum,nodularia,calothrix,rivularia,nostoc,leptolyngbya,unknown
7/14/2022,SFE-M,4,TA,1,11/6/2023,preserved,15,5,9,10,3,53.9,0.1,,,3,,1,,,,,,
,,,,2,,,13,4,8,9,2,60.9,,,,2,,1,0.1,,,,,
,,,,3,,,16,4,6,7,2,61,,,,3,,1,,,,,,
7/28/2022,SFE-M,4,TA,1,11/8/2023,preserved,45,7,13,14,3,14.9,1,0.1,,2,,,,,,,,
,,,,2,,,30,9,9,10,7,29,1,0,,5,,,,,,,,
,,,,3,,,29,8,9,10,8,30,1,,,5,,,,,,,,
8/2/2022,SFE-M,4,TA,1,11/9/2023,preserved,20,7,6,5,4,54,,,,3,,1,,,,,,
,,,,2,,,18,10,8,6,2,54,,,,2,,0,,,,,,
,,,,3,,,17,8,6,5,4,56,,,,3,,1,,,,,,
8/10/2022,SFE-M,4,TA,1,11/13/2023,preserved,30,16,9,10,4,22,5,,,3,,,,,,,1,
,,,,2,,,13,18,10,12,6,23,7,,,11,,,,,,,,
,,,,3,,,21,13,8,7,8,28,6,,,9,,,,,,,,
