field_date,site,reach,sample_type,date_analyzed,method,slide_rep,non_algal,non_e_r_diatoms,other_coccoids,epithemia,rhopalodia,nostoc,mougeotia,scenedesmus_no_spines,desmodesmus_spines,ankistrodesmus,lacunastrum,anabaena_and_cylindrospermum,geitlerinema,spirogyra,cladophora,leptolyngbya,homoeothrix,microcoleus,stigeoclonium,lyngbya,oedogonium,zygnema,ulothrix,oscillatoria,calothrix,coelastrum,oocystis,chroococcus,unknown_green_algae
6/28/2023,SAL,2,NT,2/26/2024,preserved,1,96.7,2,0.1,,,,,0.1,,,,,0.1,,,1,,,,,,,,,,,,,
6/28/2023,SAL,2,NT,2/26/2024,preserved,2,95.9,3,0.1,,,,,,,,,,,,,1,,,,,,,,,,,,,
6/28/2023,SAL,2,NT,2/26/2024,preserved,3,94.9,4,0.1,,,,,,,,,,,,,1,,,,,,,,,,,,,
7/13/2023,SAL,2,NT,2/27/2024,preserved,1,35,10,1,,,,,,,,,,,,,3,,6,,,,,45,,,,,,
7/13/2023,SAL,2,NT,2/27/2024,preserved,2,34.8,17,0.1,0.1,,,,,,,,,,,,3,,15,,,,,30,,,,,,
7/13/2023,SAL,2,NT,2/27/2024,preserved,3,40,16,0.1,,,,,,,,,,,,,3,,7,,,,,33.9,,,,,,
7/27/2023,SAL,2,NT,2/28/2024,preserved,1,95.8,2,0.1,,,,,,,,,,,,,1,,1,0.1,,,,,,,,,,
7/27/2023,SAL,2,NT,2/28/2024,preserved,2,88.8,2,0.1,,,,,,,,,,0.1,,,3,,5,1,,,,,,,,,,
7/27/2023,SAL,2,NT,2/28/2024,preserved,3,94.9,3,0.1,,,,,,,,,,,,,,,1,1,,,,,,,,,,
8/10/2023,SAL,2,NT,2/29/2024,preserved,1,30,4,0.1,,,,,0.1,,,,,0.1,,,2,,63.7,,,,,,,,,,,
8/10/2023,SAL,2,NT,2/29/2024,preserved,2,31,4,0.1,,,,,,,,,,,,,3,,61.9,,,,,,,,,,,
8/10/2023,SAL,2,NT,2/29/2024,preserved,3,40,5,0.1,,,,,,,,,,,,,4,0.1,50.8,,,,,,,,,,,
