field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena_and_cylindrospermum,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,nodularia,rivularia,calothrix,nostoc,gloeotrichia,leptolyngbya,homoeothrix,chroococcus,aphanothece,phormidium_unknown
7/24/2023,SFE-M,2,TAC,1,12/7/2023,preserved,30,18,7,9,8,12.8,0.1,0.1,,15,,,,,,,,,,
7/24/2023,SFE-M,2,TAC,2,12/7/2023,preserved,32,15,10,12,7,7.8,1,0.1,,15,,,,,,,,,,0.1
7/24/2023,SFE-M,2,TAC,3,12/7/2023,preserved,38,17,5,12,6,5.9,1,0.1,,15,,,,,,,,,,
7/31/2023,SFE-M,2,TAC,1,3/20/2023,preserved,23,12,8,10,3,18.9,6,1,,3,,,,,,15,,0.1,,
7/31/2023,SFE-M,2,TAC,2,3/20/2023,preserved,25,13,10,12,4,17,5,2,,,,,,,,11,,1,,
7/31/2023,SFE-M,2,TAC,3,3/20/2023,preserved,28,15,10,10,3,15,6,3,,,,,,,,9,,1,,
8/7/2023,SFE-M,2,TAC,1,12/11/2023,preserved,53,19,3,15,3,5,2,,,,,,,,,,,,,
8/7/2023,SFE-M,2,TAC,2,12/11/2023,preserved,46,25,5,12,4,5,3,,,,,,,,,,,,,
8/7/2023,SFE-M,2,TAC,3,12/11/2023,preserved,54,22,4,12,3,4,1,,,,,,,,,,,,,
8/14/2023,SFE-M,2,TAC,1,3/21/2024,preserved,29.8,16,9,12,2,17,7,,,3,,,,,,3,0.1,1,,0.1
8/14/2023,SFE-M,2,TAC,2,3/21/2024,preserved,27.8,17,9,11,3,15,7,0.1,,4,,,,,,5,0.1,1,,
8/14/2023,SFE-M,2,TAC,3,3/21/2024,preserved,24,12,17,11,3,20,5,,,3,,,,,,3,,2,,
8/22/2023,SFE-M,2,TAC,1,12/15/2023,preserved,48.9,17,7,8,4,3,5,,,7,,,,,,,,,,0.1
8/22/2023,SFE-M,2,TAC,2,12/15/2023,preserved,50,15,6,7,5,4,6,,,7,,,,,,,,,,
8/22/2023,SFE-M,2,TAC,3,12/15/2023,preserved,52.8,13,6,6,5,3,7,0.1,,7,,,,,,,,,,0.1
9/4/2023,SFE-M,2,TAC,1,3/26/2024,preserved,35.8,25,9,7,3,6,1,8,,5,,,,,,,,0.1,,0.1
9/4/2023,SFE-M,2,TAC,2,3/26/2024,preserved,29.7,20,12,6,5,5,1,15,,6,,,,0.1,0.1,,,,,0.1
9/4/2023,SFE-M,2,TAC,3,3/26/2024,preserved,22.8,20,15,5,6,5,0.1,16,,8,,,,1,,,,1,,0.1
9/18/2023,SFE-M,2,TAC,1,3/24/2024,preserved,39,13,16,10,3,4,3,7,,4,,,,,,,,1,,
9/18/2023,SFE-M,2,TAC,2,3/24/2024,preserved,20,13,21,5,3,23,1,8,,5,,,,,,,,1,,
9/18/2023,SFE-M,2,TAC,3,3/24/2024,preserved,33,15,18,6,4,6,3,9,,5,,,,,,,,1,,
9/24/2023,SFE-M,2,TAC,1,3/26/2024,preserved,51.8,20,7,4,3,5,0.1,6,,3,,,,,,,,0.1,,
9/24/2023,SFE-M,2,TAC,2,3/26/2024,preserved,46.6,21,7,6,3,5,0.1,7,,4,,,,0.1,,,,0.1,0.1,
9/24/2023,SFE-M,2,TAC,3,3/26/2024,preserved,49.8,23,4,5,3,3,0.1,7,,5,,,,,,,,0.1,,
