field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena_and_cylindrospermum,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,nodularia,rivularia,calothrix,nostoc,gloeotrichia,leptolyngbya,homoeothrix,chroococcus,phormidium_unknown
7/24/2023,SFE-M,3,TAC,1,12/7/2023,preserved,18,16,8,15,7,29,,,,5,,1,,1,,,,,
7/24/2023,SFE-M,3,TAC,2,12/7/2023,preserved,17,15,8,16,7,20,,,,5,,3,,9,,,,,
7/24/2023,SFE-M,3,TAC,3,12/7/2023,preserved,37,18,7,12,7,8,,,,4,,2,,5,,,,,
7/31/2023,SFE-M,3,TAC,1,3/21/2024,preserved,26,13,8,12,4,18,6,,,2,,,,5,,4,1,1,
7/31/2023,SFE-M,3,TAC,2,3/21/2024,preserved,29,15,7,9,3,18,7,,,3,,,,4,,3,,2,
7/31/2023,SFE-M,3,TAC,3,3/21/2024,preserved,31.8,7,3,17,2,20,7,,,1,,,0.1,4,,3,,4,0.1
8/7/2023,SFE-M,3,TAC,1,12/12/2023,preserved,32,20,7,10,3,18,2,,,,,,,8,,,,,
8/7/2023,SFE-M,3,TAC,2,12/12/2023,preserved,36.9,18,10,12,3,15,2,,,,0.1,,,3,,,,,
8/7/2023,SFE-M,3,TAC,3,12/12/2023,preserved,32,20,9,10,7,12,2,,,,,,,8,,,,,
8/14/2023,SFE-M,3,TAC,1,12/14/2023,preserved,19.8,20,9,15,6,18,7,,,5,0.1,,0.1,,,,,,
8/14/2023,SFE-M,3,TAC,2,12/14/2023,preserved,22.8,17,10,11,15,12,4,0.1,,5,,,0.1,3,,,,,
8/14/2023,SFE-M,3,TAC,3,12/14/2023,preserved,24.9,7,9,16,17,11,5,0.1,,8,,,,2,,,,,
8/22/2023,SFE-M,3,TAC,1,12/15/2023,preserved,46,12,8,7,3,10,9,,,5,,,,,,,,,
8/22/2023,SFE-M,3,TAC,2,12/15/2023,preserved,28,15,8,20,5,11,7,,,6,,,,,,,,,
8/22/2023,SFE-M,3,TAC,3,12/15/2023,preserved,21.9,16,10,20,6,9,10,,,7,0.1,,,,,,,,
8/28/2023,SFE-M,3,TAC,1,12/18/2023,preserved,40,20,7,12,5,6,,,,10,,,,,,,,,
8/28/2023,SFE-M,3,TAC,2,12/18/2023,preserved,14,25,10,15,8,12,7,,,9,,,,,,,,,
8/28/2023,SFE-M,3,TAC,3,12/18/2023,preserved,11,21,9,13,7,15,7,,,12,,,,5,,,,,
