field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena_and_cylindrospermum,non_algal,non_e_diatoms,e_diatoms,coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,nodularia,calothrix,rivularia,nostoc,gloeotrichia,lyngbya,leptolyngbya,chroococcus_toxin_producing_coccoid,phormidium_unknown
7/10/2023,SFE-M,4,TAC,1,12/5/2023,preserved,43,30,8,6,5,5,,,,3,,,,,,,,,
,,,,2,,,35.9,32,10,9,4,6,0.1,,,3,,,,,,,,,
,,,,3,,,28.9,35,11,10,4,7,0.1,,,4,,,,,,,,,
7/17/2023,SFE-M,4,TAC,1,12/6/2023,preserved,53,10,10,12,5,7,,,,3,,,,,,,,,
,,,,2,,,49,15,9,13,6,5,,,,3,,,,,,,,,
,,,,3,,,40,17,10,15,8,6,,,,4,,,,,,,,,
7/24/2023,SFE-M,4,TAC,1,12/11/2023,preserved,48,12,9,10,5,10,,,,6,,,,,,,,,
,,,,2,,,35.8,18,7,15,6,10,0.1,,,8,,,,,,0.1,,,
,,,,3,,,34.9,20,5,18,5,9,,,,8,,0.1,,,,,,,
7/31/2023,SFE-M,4,TAC,1,3/22/2024,preserved,22,18,8,19,3,10,5,,,2,,3,4,,,,5,1,
,,,,2,,,44.9,8,7,22,3,5,6,,,3,,0.1,,,,,1,,
,,,,3,,,27,10,8,23,4,9,8,,,2,,7,,,,,1,1,
8/7/2023,SFE-M,4,TAC,1,12/12/2023,preserved,52,15,9,7,3,6,3,,,5,,,,,,,,,
,,,,2,,,43.8,17,9,8,4,7,5,0.1,,6,0.1,,,,,,,,
,,,,3,,,41.9,15,10,12,3,6,5,0.1,,7,,,,,,,,,
8/14/2023,SFE-M,4,TAC,1,12/14/2023,preserved,13,21,7,13,5,25,6,1,,6,,,,,,,,,3
,,,,2,,,21,16,9,15,8,17,7,1,,4,,,,,,,,,2
,,,,3,,,18,12,8,16,5,22.9,9,,,6,,,,,,0.1,,,3
8/22/2023,SFE-M,4,TAC,1,12/18/2023,preserved,29.9,12,13,15,5,10,2,1,,4,,0.1,,,,,,,8
,,,,2,,,57,7,5,8,2,9,2,1,,3,,,,,,,,,6
,,,,3,,,48,10,5,9,6,7,3,1,,4,,,,,,,,,7
