field_date,site,reach,sample_type,slide_rep,date_analyzed,method,microcoleus,non_algal,non_e_diatoms,e_diatoms,coccoids,green_algae,geitlerinema,leptolyngbya,tolypothrix,nostoc,anabaena_cylindrospermum,nodularia,calothrix,chroococcus_toxin_producing_coccoid,rivularia,gloeotrichia,oscillatoria,scytonema
7/10/2023,SFE-M,1S,TM,1,3/7/2024,preserved,54,12,25,3,2,3,1,,,,,,,,,,,
,,,,2,,,71.9,7,10,3,3,2,3,,,,,,0.1,,,,,
,,,,3,,,91,5,1,1,1,1,,,,,,,,,,,,
7/17/2023,SFE-M,1S,TM,1,3/11/2024,preserved,51.9,18,9,5,3,10,1,,,,0.1,,2,,,,,
,,,,2,,,69,15,8,3,2,2,1,,,,,,,,,,,
,,,,3,,,61,16,7,2,2,11,1,,,,,,,,,,,
7/24/2023,SFE-M,1S,TM,1,3/12/2024,preserved,68.9,7,5,1,1,12,3,,,2,,,0.1,,,,,
,,,,2,,,81.9,8,3,1,1,3,2,,,,,0.1,,,,,,
,,,,3,,,75.8,15,3,1,1,3,1,,,0.1,,,0.1,,,,,
7/31/2023,SFE-M,1S,TM,1,3/15/2024,preserved,42,17,6,7,3,10,3,2,,,5,,3,2,,,,
,,,,2,,,42,19,5,5,2,11,3,1,,,6,,4,2,,,,
,,,,3,,,51,13,5,8,3,9,2,1,,,4,,3,1,,,,
8/7/2023,SFE-M,1S,TM,1,3/12/2024,preserved,47.9,15,7,5,2,6,2,2,,,1,,0.1,2,10,,,
,,,,2,,,89,5,1,1,1,2,1,,,,,,,,,,,
,,,,3,,,73.9,13,2,1,3,5,1,,,,1,,0.1,,,,,
8/14/2023,SFE-M,1S,TM,Final,8/23/2023,live,75.9,3,3,2,5,10,,,,,1,,,,,,0.1,
8/22/2023,SFE-M,1S,TM,Final,8/30/2023,live,74,5,1,2,3,15,,,,,,,,,,,,
8/28/2023,SFE-M,1S,TM,Final,9/5/2023,live,87,3,2,0,2,5,1,,,,,,,,,,,
9/4/2023,SFE-M,1S,TM,Final,9/11/2023,live,77.9,8,5,1,2,6,,,,,0.1,,,,,,,
9/12/2023,SFE-M,1S,TM,Final,9/19/2023,live,59.9,5,3,2,2,18,,,,,0.1,,,,,10,,
9/18/2023,SFE-M,1S,TM,Final,9/21/2023,live,64.8,5,4,6,5,15,0.1,,,,0.1,,,,,,,
9/24/2023,SFE-M,1S,TM,Final,9/28/2023,live,63.9,15,3,7,2,9,,,,,0.1,,,,,,,
