field_date,site,reach,sample_type,slide_rep,date_analyzed,method,microcoleus,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,geitlerinema,leptolyngbya,tolypothrix,nostoc,calothrix,homoeothrix,anabaena_and_cylindrospermum,chroococcus,oscillatoria,scytonema,gloeotrichia,rivularia,unknown
8/7/2023,SFE-M,4,TM,1,3/13/2024,preserved,45,44,2,3,1,2,1,,,,,,2,,,,,,
8/7/2023,SFE-M,4,TM,2,3/13/2024,preserved,43.9,35,5,5,2,3,2,,,,,,4,0.1,,,,,
8/7/2023,SFE-M,4,TM,3,3/13/2024,preserved,45,30,6,6,2,3,3,,,,,,5,,,,,,
8/22/2023,SFE-M,4,TM,Final,8/31/2023,live,52,10,5,8,3,12,2,,,,,,3,,5,,,,
9/4/2023,SFE-M,4,TM,Final,9/14/2023,live,79.9,10,2,0.1,3,5,,,,,,,,,,,,,
9/12/2023,SFE-M,4,TM,1,11/17/2023,preserved,68,15,4,3,2,5,3,,,,,,,,,,,,
9/12/2023,SFE-M,4,TM,2,11/17/2023,preserved,72,12,2,2,1,9,2,,,,,,,,,,,,
9/12/2023,SFE-M,4,TM,3,11/17/2023,preserved,68,10,6,5,1,8,2,,,,,,,,,,,,
9/18/2023,SFE-M,4,TM,Final,9/26/2023,live,69,12,15,0,1,3,,,,,,,,,,,,,
9/24/2023,SFE-M,4,TM,Final,9/28/2023,live,66.8,12,15,0.1,1,5,,,,,,,0.1,,,,,,
