"site_reach","site","field_date","sample_type","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","percent_organic_matter","ATX_all_ug_chla_ug","ATX_all_ug_orgmat_g"
"RUS-1S","RUS","2022-07-20","TAC",0,0,0,8.23045267489712,3.7037037037037,0,79.4238683127572,0,0,0,0,0,6.99588477366255,0,0,1.64609053497943,0,0,0,0,0,NA,22.22,9.587,265.7,7.841,0.017,0.00625,8.07,19.15,2.066,6.92,12.31,0.11,10.43,1.16,15.15,12.63,0,0,0,0,2963.28018265358,411.743496902954,26.61,0,0
"RUS-1S","RUS","2022-08-02","TAC",0,0,0,6.25,2.91666666666667,0,83.3333333333333,0,0,0,0,0,5.41666666666667,0,0,2.08333333333333,0,0,0,0,0,8.07,21.8,8.493,251.5,6.961,0.009,0.00484,8.07,24.76,2.299,6.48,11.66,0.1,9.96,1.16,14.76,12,0,0,0.113,0.113,3661.8982348506,1107.40013371711,38.1,3.09e-05,0.2965879
"RUS-1S","RUS","2022-08-17","TAC",0,0,0,23.0125523012552,5.23012552301255,0,28.765690376569,0,0,0,0.104602510460251,0,26.1506276150628,0,9.41422594142259,7.32217573221757,0,0,0,0,0,8.22,22.7,8.052,261.1,6.912,0.016,0.03339,8.22,23.23,2.429,6.55,11.43,0.13,10.01,1.14,14.42,14.87,0,0,0,0,3921.18343166071,979.220714156785,25.14,0,0
"RUS-1S","RUS","2022-09-01","TAC",0,0,0,15.1216305062459,6.57462195923735,0,36.1604207758054,0.0657462195923735,0,0,3.28731097961867,0,16.4365548980934,0,3.28731097961867,10.5193951347798,5.91715976331362,0,0,0,2.62984878369494,8.03,20.53,8.643,235.3,8.68,0.009,0.00842,8.03,18.58,1.889,6.41,11.25,0.08,9.92,1.13,14.39,15.91,0,0.292,0,0.292,1468.9656607943,628.743250031739,22.61,0.0001988,1.291464
"RUS-1S","RUS","2022-09-15","TAC",0,0,0,12.1693121693122,2.11640211640212,0,41.6931216931217,0,0,0,0.105820105820106,0,25.3968253968254,0,9.52380952380953,6.87830687830688,2.11640211640212,0,0,0,0,7.98,18.757,8.853,NA,10.95,0.011,0.00783,7.98,20.66,1.924,6.25,10.82,0.12,9.8,1.14,14.1,15.5,0.463,0.526,0,0.989,2757.72885104398,520.894459648726,23.552,0.0003586,4.1992188
"RUS-2","RUS","2022-07-20","TAC",0,0,0,7.47663551401869,6.07476635514019,0,75.0934579439252,0,0,0,0.140186915887851,0,9.81308411214954,0,0,1.40186915887851,0,0,0,0,0,NA,23.75,9.567,267.8,9.59,0.009,0.00411,8.25,21.59,2.118,6.84,12.14,0.11,10.37,1.17,15.08,13.04,0,0,0,0,2984.96562184583,528.685154188619,36.83,0,0
"RUS-2","RUS","2022-08-02","TAC",0,0,0,7.56756756756756,2.70270270270271,0,69.1891891891892,0,0,0,0,0,8.64864864864864,8.64864864864864,0,3.24324324324325,0,0,0,0,0,8.25,23.41,9.734,255.9,9.735,0.01,0.01246,8.25,23.05,2.26,6.33,11.35,0.1,9.75,1.15,14.62,9.17,0,0,0,0,4418.2446809663,403.885382539805,31.14,0,0
"RUS-2","RUS","2022-08-17","TAC",0,0,0,19.4756554307117,16.4794007490637,0,30.7116104868913,0,0,0,0.149812734082397,0,26.2172284644195,0,0.224719101123595,6.74157303370786,0,0,0,0,0,8.27,23.53,9.426,262.6,9.835,0.015,0.01541,8.27,21.52,2.416,6.54,11.62,0.14,10.08,1.13,14.24,18.13,0,0,0,0,3093.79500632274,486.351700213401,28.63,0,0
"RUS-2","RUS","2022-09-01","TAC",0,0,0,12.6671358198452,6.33356790992258,0,49.2610837438424,0,0,0,0.774102744546094,0,12.6671358198452,0,2.11118930330753,7.74102744546094,8.44475721323011,0,0,0,0,8.27,22.69,9.426,241.7,8.5965,0.01,0.00747,8.27,16.87,1.8245,5.385,9.385,0.09,8.285,0.975,12.41,12.445,0,0.17,0,0.17,2029.19204182806,557.204242450256,24.22,8.38e-05,0.7018993
"RUS-2","RUS","2022-09-15","TAC",0,0,0,5.23560209424085,8.90052356020943,0,46.0209424083769,0,0,0,0.0523560209424085,0,19.3717277486911,0,2.61780104712042,10.9947643979058,6.80628272251309,0,0,0,0,8.19,19.924,10.005,NA,11.203,0.012,0.00885,8.19,21.76,2.06,5.91,10.45,0.12,9.29,1.08,13.5,15.05,0,0,0,0,1604.47878335661,614.331345685896,20.14,0,0
"RUS-3","RUS","2022-07-20","TAC",0,0,0,5.08474576271186,2.96610169491525,0,78.8135593220339,0,0,0,0,0,6.35593220338983,0,0,6.77966101694915,0,0,0,0,0,NA,24.68,11.067,266.2,9.796,0.009,0.00245,8.4,19.84,2.171,6.84,12.19,0.13,10.37,1.18,14.77,14.1,0,0,0,0,3299.08397733518,400.976823586325,37.71,0,0
"RUS-3","RUS","2022-08-02","TAC",0,0,0,7.33944954128441,3.6697247706422,0,75.2293577981651,0,0,0,0,0,9.1743119266055,0,0,4.58715596330276,0,0,0,0,0,8.4,24.27,13.04,255.9,7.386,0.007,0.00721,8.4,20.09,2.391,6.25,11.25,0.1,9.67,1.15,14.35,10.05,0,0,0,0,4091.49488127995,827.645721928693,31.81,0,0
"RUS-3","RUS","2022-08-17","TAC",0,0,0,26.7286461359675,11.0400929692039,0,23.8233585124928,0,0,0,0.0581057524694945,0,28.4718187100522,0.581057524694945,0,9.29692039511911,0,0,0,0,0,8.53,24.33,10.854,236.8,6.809,0.02,0.00691,8.53,21.42,2.102,6.46,11.24,0.12,9.83,1.11,13.99,13.07,0,0.239,0,0.239,4883.71266422706,590.170937597246,33.33,4.89e-05,0.7170717
"RUS-3","RUS","2022-09-01","TAC",0,0,0,9.17874396135265,5.31400966183575,0,54.9275362318841,0,0,4.83091787439614,0.144927536231884,0,13.5265700483092,0,1.44927536231884,6.28019323671497,1.44927536231884,0,0,0,2.89855072463768,8.56,22.8,10.743,239.6,8.284,0.011,0.00484,8.56,19.44,2.101,6.38,11.15,0.11,9.81,1.15,14.5,11.28,0.377,0.964,0,1.341,1842.94613041894,653.905526281404,25.22,0.0007276,5.3172086
