"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","percent_organic_matter","ATX_all_ug_chla_ug","ATX_all_ug_orgmat_g"
"RUS-1S","RUS","2022-07-20","TAC",13.2142857142857,0,0,0,7.14285714285714,3.21428571428571,0,68.9285714285714,0,0,0,0,0,6.07142857142857,0,0,1.42857142857143,0,0,0,0,0,NA,22.22,9.587,265.7,7.841,0.017,0.00625,8.07,19.15,2.066,6.92,12.31,0.11,10.43,1.16,15.15,12.63,0,0,0,0,2963.28018265358,411.743496902954,26.61,0,0
"RUS-1S","RUS","2022-08-02","TAC",15.1943462897526,0,0,0,5.30035335689046,2.47349823321555,0,70.6713780918728,0,0,0,0,0,4.59363957597173,0,0,1.76678445229682,0,0,0,0,0,8.07,21.8,8.493,251.5,6.961,0.009,0.00484,8.07,24.76,2.299,6.48,11.66,0.1,9.96,1.16,14.76,12,0,0,0.113,0.113,3661.8982348506,1107.40013371711,38.1,3.09e-05,0.2965879
"RUS-1S","RUS","2022-08-17","TAC",27.3003802281369,0,0,0,16.7300380228137,3.80228136882129,0,20.9125475285171,0,0,0,0.0760456273764259,0,19.0114068441065,0,6.84410646387833,5.32319391634981,0,0,0,0,0,8.22,22.7,8.052,261.1,6.912,0.016,0.03339,8.22,23.23,2.429,6.55,11.43,0.13,10.01,1.14,14.42,14.87,0,0,0,0,3921.18343166071,979.220714156785,25.14,0,0
"RUS-1S","RUS","2022-09-01","TAC",32.4,0,0,0,10.2222222222222,4.44444444444444,0,24.4444444444444,0.0444444444444444,0,0,2.22222222222222,0,11.1111111111111,0,2.22222222222222,7.11111111111111,4,0,0,0,1.77777777777778,8.03,20.53,8.643,235.3,8.68,0.009,0.00842,8.03,18.58,1.889,6.41,11.25,0.08,9.92,1.13,14.39,15.91,0,0.292,0,0.292,1468.9656607943,628.743250031739,22.61,0.0001988,1.291464
"RUS-1S","RUS","2022-09-15","TAC",24.7011952191235,0,0,0,9.16334661354582,1.59362549800797,0,31.394422310757,0,0,0,0.0796812749003984,0,19.1235059760956,0,7.17131474103586,5.1792828685259,1.59362549800797,0,0,0,0,7.98,18.757,8.853,NA,10.95,0.011,0.00783,7.98,20.66,1.924,6.25,10.82,0.12,9.8,1.14,14.1,15.5,0.463,0.526,0,0.989,2757.72885104398,520.894459648726,23.552,0.0003586,4.1992188
"RUS-2","RUS","2022-07-20","TAC",23.8434163701068,0,0,0,5.69395017793594,4.62633451957295,0,57.1886120996441,0,0,0,0.106761565836299,0,7.47330960854093,0,0,1.06761565836299,0,0,0,0,0,NA,23.75,9.567,267.8,9.59,0.009,0.00411,8.25,21.59,2.118,6.84,12.14,0.11,10.37,1.17,15.08,13.04,0,0,0,0,2984.96562184583,528.685154188619,36.83,0,0
"RUS-2","RUS","2022-08-02","TAC",29.6577946768061,0,0,0,5.32319391634981,1.90114068441065,0,48.6692015209126,0,0,0,0,0,6.08365019011407,6.08365019011407,0,2.28136882129278,0,0,0,0,0,8.25,23.41,9.734,255.9,9.735,0.01,0.01246,8.25,23.05,2.26,6.33,11.35,0.1,9.75,1.15,14.62,9.17,0,0,0,0,4418.2446809663,403.885382539805,31.14,0,0
"RUS-2","RUS","2022-08-17","TAC",40.6666666666667,0,0,0,11.5555555555556,9.77777777777778,0,18.2222222222222,0,0,0,0.0888888888888889,0,15.5555555555556,0,0.133333333333333,4,0,0,0,0,0,8.27,23.53,9.426,262.6,9.835,0.015,0.01541,8.27,21.52,2.416,6.54,11.62,0.14,10.08,1.13,14.24,18.13,0,0,0,0,3093.79500632274,486.351700213401,28.63,0,0
"RUS-2","RUS","2022-09-01","TAC",36.2780269058296,0,0,0,8.07174887892377,4.03587443946188,0,31.390134529148,0,0,0,0.493273542600897,0,8.07174887892377,0,1.34529147982063,4.93273542600897,5.38116591928251,0,0,0,0,8.27,22.69,9.426,241.7,8.5965,0.01,0.00747,8.27,16.87,1.8245,5.385,9.385,0.09,8.285,0.975,12.41,12.445,0,0.17,0,0.17,2029.19204182806,557.204242450256,24.22,8.38e-05,0.7018993
"RUS-2","RUS","2022-09-15","TAC",27.6515151515151,0,0,0,3.78787878787879,6.43939393939394,0,33.2954545454545,0,0,0,0.0378787878787879,0,14.0151515151515,0,1.89393939393939,7.95454545454545,4.92424242424242,0,0,0,0,8.19,19.924,10.005,NA,11.203,0.012,0.00885,8.19,21.76,2.06,5.91,10.45,0.12,9.29,1.08,13.5,15.05,0,0,0,0,1604.47878335661,614.331345685896,20.14,0,0
