"site","site_reach","field_date","sample_type","calothrix","e_diatoms","geitlerinema","gloeotrichia","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","scytonema","unknown"
"RUS","RUS-1S","2022-07-20","TAC",0,6.32455532033676,4.24264068711928,0,0,0,0,0,0,5.8309518948453,0,0,2.82842712474619,0,0,0
"RUS","RUS-1S","2022-08-02","TAC",0,6.12372435695795,4.18330013267038,0,0,0,0,0,0,5.70087712549569,0,0,3.53553390593274,0,0,0
"RUS","RUS-1S","2022-08-17","TAC",0,5.68378687025564,2.70963907301702,0,0,0,0,0.383200832619673,0,6.05893716175558,0,3.63536229705335,3.20608818787456,0,0,0
"RUS","RUS-1S","2022-09-01","TAC",0,4.86692106986634,3.2091527190284,0,0.32091527190284,0,0,2.26921364948823,0,5.07411597572606,0,2.26921364948823,4.05929278058085,3.04446958543564,0,2.02964639029043
"RUS","RUS-1S","2022-09-15","TAC",0,4.56849465094145,1.90519397052787,0,0,0,0,0.426014322842305,0,6.59978551045631,0,4.04152672810794,3.43463727522153,1.90519397052787,0,0
"RUS","RUS-2","2022-07-20","TAC",0,5.47893801078994,4.93864798324795,0,0,0,0,0.750234484920533,0,6.27691204060391,0,0,2.37244975155213,0,0,0
"RUS","RUS-2","2022-08-02","TAC",0,4.95594627783352,2.96174438879546,0,0,0,0,0,0,5.29812942826018,5.29812942826018,0,3.24442842261525,0,0,0
"RUS","RUS-2","2022-08-17","TAC",0,5.30170803686022,4.87686208373619,0,0,0,0,0.464990554975277,0,6.15124685229246,0,0.569494797451498,3.11925146946021,0,0,0
"RUS","RUS-2","2022-09-01","TAC",0,4.99653139049478,3.5330812286303,0,0,0,0,1.23517561796378,0,4.99653139049478,0,2.03982539841852,3.90596826307154,4.07965079683704,0,0
"RUS","RUS-2","2022-09-15","TAC",0,3.1143732993215,4.06064598072713,0,0,0,0,0.31143732993215,0,5.99061665238635,0,2.20219447909655,4.51315568087408,3.5509319004713,0,0
"RUS","RUS-3","2022-07-20","TAC",0,4.89897948556636,3.74165738677394,0,0,0,0,0,0,5.47722557505166,0,0,5.65685424949238,0,0,0
"RUS","RUS-3","2022-08-02","TAC",0,5.44331053951817,3.8490017945975,0,0,0,0,0,0,6.08580619450184,0,0,4.30331482911935,0,0,0
"RUS","RUS-3","2022-08-17","TAC",0,5.92348877759093,3.8069349381344,0,0,0,0,0.276184088333054,0,6.11359540840709,0.873370772629587,0,3.49348309051834,0,0,0
"RUS","RUS-3","2022-09-01","TAC",0,4.51269496673641,3.43364601745793,0,0,0,3.27385302235826,0.567047977123743,0,5.47820391310984,0,1.79316315030208,3.73276676147943,1.79316315030208,0,2.53591564670487
"RUS","RUS-3","2022-09-15","TAC",0,3.28866353102586,3.86975988884812,0,0,0,0,0.407908508224002,0,5.54815554487103,0,2.8843487226888,4.27818052669221,4.07908508224002,0,0
"SAL","SAL-3","2022-09-22","TAC",0,4.8935018292892,4.26605599078061,0,0,0,0,0.536056267418896,0,5.95320191382923,0,0.978700365857838,4.59051162016457,0.309492230295086,0,0
"SFE-M","SFE-M-1S","2022-07-14","TAC",0,6.69910805857674,2.20863052149693,0,0,0,0,0.441726104299386,0.441726104299386,6.47697610866329,0.312347523777212,0,2.79372118307832,0,0,0
"SFE-M","SFE-M-1S","2022-07-28","TAC",0,7.21769563211317,3.19257348878827,0,0,0,0,0.582881505434101,0,5.82881505434101,0,0,1.84323316315957,0,0,0
"SFE-M","SFE-M-1S","2022-08-10","TAC",0,4.03238919272756,4.17391935564842,0,0,0,0,6.0003871342392,0,4.17391935564842,0,0.340799088295499,3.57433099252639,0,0,0
"SFE-M","SFE-M-1S","2022-09-06","TAC",0,4.43185426144694,1.60059766804827,0,0,0,0,0.292227816093402,0,6.4687384615837,4.43185426144694,0,4.0280824637483,0,0,0
"SFE-M","SFE-M-1S","2022-09-17","TAC",2.22497079744993,4.22158526838175,3.723088252864,1.40719508946058,0,0,0,0,0,5.5401326073417,1.99007438041998,2.22497079744993,4.22158526838175,0,1.99007438041998,0
"SFE-M","SFE-M-3","2022-07-14","TAC",0,5.65746590049157,3.35345713264453,0,0,0,0.415945165403852,1.34781638086937,0.415945165403852,5.58048998853243,0.930081664755406,0,4.74250455782268,0,0,0.294117647058824
"SFE-M","SFE-M-3","2022-07-28","TAC",0,5.7335684350097,3.71292203416841,0,0,0,0,2.522433809315,0,5.44907981568924,1.0297792904611,0.564033346637208,3.98831804222513,0,0,0
"SFE-M","SFE-M-3","2022-08-10","TAC",0,5.88089961121205,2.63001825990445,0,0,0,0,1.08893101296094,0,6.04659117372213,0,0,4.5553252509884,0,0,0
"SFE-M","SFE-M-3","2022-08-23","TAC",0,6.02414496676874,3.66617787553384,0,0,0,0,0.635000635000953,0.366617787553384,5.7967361970021,0,0,4.01609664451249,0,0,0
"SFE-M","SFE-M-4","2022-07-14","TAC",0,6.36383865034315,3.53002254809105,0,0,0,0,0.394668518981929,0.394668518981929,5.98544444225653,0,0,3.30203373563586,0,0,0
"SFE-M","SFE-M-4","2022-07-28","TAC",0,5.88714801264006,3.49748708391335,0,0,0,0,1.74874354195667,0,5.62142399639067,0,0.319275428407051,4.28352936878119,0,0,0
"SFE-M","SFE-M-4","2022-08-10","TAC",0,5,4.4528177828086,0,0,0.928476690885259,0,3.93919298579167,0,4.82450640677007,0,0,3.93919298579167,0,0,0
