"site","site_reach","year","field_date","sample_type","anabaena_and_cylindrospermum","chroococcus","e_diatoms","geitlerinema","green_algae","leptolyngbya","lyngbya","microcoleus","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","scytonema"
"SAL","SAL-1S",2022,"2022-07-12","TM",0,0,0,0,1.03092783505155,0,0,93.298969072165,5.15463917525773,0,0,0.515463917525773,0,0
"SAL","SAL-1S",2022,"2022-07-26","TM",0,0,0,3.125,5.20833333333333,0,0,76.0416666666667,12.5,0,0,3.125,0,0
"SAL","SAL-2",2022,"2022-07-12","TM",0,0,0,0,1.05263157894737,0,0,91.5789473684211,6.31578947368421,0,0,1.05263157894737,0,0
"SAL","SAL-2",2022,"2022-07-26","TM",0,0,0,0,3.33333333333333,0,0,77.7777777777778,16.6666666666667,0,0,2.22222222222222,0,0
"SAL","SAL-3",2022,"2022-07-26","TM",0,0,0,2.12765957446809,1.06382978723404,0,0,86.1702127659574,8.51063829787234,0,0,2.12765957446809,0,0
"SFE-M","SFE-M-1S",2022,"2022-06-29","TM",0,0,3.06122448979592,5.10204081632653,2.04081632653061,0,0,81.6326530612245,2.04081632653061,5.10204081632653,0,1.02040816326531,0,0
"SFE-M","SFE-M-1S",2022,"2022-07-14","TM",5.31914893617021,0.106382978723404,5.31914893617021,0,2.12765957446809,0,0,74.3617021276596,5.31914893617021,5.31914893617021,0,2.12765957446809,0,0
"SFE-M","SFE-M-1S",2022,"2022-07-28","TM",10.2040816326531,0,12.2448979591837,3.06122448979592,5.10204081632653,0,0,61.2244897959184,2.04081632653061,2.04081632653061,0,4.08163265306122,0,0
"SFE-M","SFE-M-1S",2022,"2022-08-10","TM",3.15789473684211,0,6.31578947368421,8.42105263157895,3.15789473684211,0.105263157894737,0,69.3684210526316,6.31578947368421,0,0,3.15789473684211,0,0
"SFE-M","SFE-M-1S",2022,"2022-08-23","TM",0,0,4.21052631578947,2.10526315789474,8.42105263157895,0,0,71.5789473684211,10.5263157894737,0,0,3.15789473684211,0,0
"SFE-M","SFE-M-1S",2022,"2022-09-06","TM",1.0989010989011,0,6.59340659340659,4.3956043956044,6.59340659340659,0.10989010989011,0,73.5164835164835,4.3956043956044,0,0,3.2967032967033,0,0
"SFE-M","SFE-M-1S",2022,"2022-09-17","TM",2.1978021978022,0,5.49450549450549,5.49450549450549,8.79120879120879,0,0,61.5384615384615,3.2967032967033,2.1978021978022,0,10.989010989011,0,0
"SFE-M","SFE-M-3",2022,"2022-06-29","TM",0,0,6.18556701030928,1.03092783505155,6.18556701030928,0,0,79.3814432989691,4.12371134020619,2.06185567010309,0,1.03092783505155,0,0
"SFE-M","SFE-M-3",2022,"2022-07-14","TM",8.60215053763441,0,5.37634408602151,0,4.3010752688172,0,0,66.6666666666667,10.752688172043,2.1505376344086,0,2.1505376344086,0,0
"SFE-M","SFE-M-3",2022,"2022-07-28","TM",5.10204081632653,0,12.2448979591837,1.02040816326531,10.2040816326531,0,0,55.1020408163265,8.16326530612245,2.04081632653061,0,3.06122448979592,0,3.06122448979592
"SFE-M","SFE-M-3",2022,"2022-08-10","TM",3.06122448979592,0,7.14285714285714,2.04081632653061,8.16326530612245,0,0,71.4285714285714,3.06122448979592,0,0,5.10204081632653,0,0
"SFE-M","SFE-M-3",2022,"2022-08-23","TM",0,0,5.26315789473684,1.05263157894737,5.26315789473684,0,0,84.2105263157895,3.15789473684211,0,0,1.05263157894737,0,0
"SFE-M","SFE-M-3",2022,"2022-09-06","TM",0,0,3.19148936170213,1.06382978723404,8.51063829787234,0,0,82.9787234042553,2.12765957446809,0,0,2.12765957446809,0,0
"SFE-M","SFE-M-3",2022,"2022-09-17","TM",0,0,5.68181818181818,3.40909090909091,4.54545454545455,0,0,78.4090909090909,5.68181818181818,0,0,2.27272727272727,0,0
"SFE-M","SFE-M-4",2022,"2022-06-29","TM",0,0,5.10204081632653,0,5.10204081632653,0,0,55.1020408163265,11.2244897959184,20.4081632653061,0,3.06122448979592,0,0
"SFE-M","SFE-M-4",2022,"2022-08-10","TM",10.6382978723404,0,26.5957446808511,5.31914893617021,7.4468085106383,5.31914893617021,0.106382978723404,35.9574468085106,4.25531914893617,1.06382978723404,0.106382978723404,3.19148936170213,0,0
"SFE-M","SFE-M-4",2022,"2022-08-23","TM",1.06382978723404,0.106382978723404,8.51063829787234,2.12765957446809,12.7659574468085,0,0,62.6595744680851,4.25531914893617,0,3.19148936170213,5.31914893617021,0,0
"SAL","SAL-3",2022,"2022-07-12","TM",0,0,0.0578034682080925,2.3121387283237,2.3121387283237,0,0.0578034682080925,83.6416184971098,9.82658959537572,0,0,1.73410404624277,0.0578034682080925,0
